"Step","visionary-plant-6 - step_crash","visionary-plant-6 - step_crash__MIN","visionary-plant-6 - step_crash__MAX"
"2951","10","10","10"
"2958","4","4","4"
"2965","9","9","9"
"2972","5","5","5"
"2979","12","12","12"
"2986","3","3","3"
"2993","9","9","9"
"3000","11","11","11"
"3007","6","6","6"
"3014","7","7","7"
"3021","9","9","9"
"3028","13","13","13"
"3035","5","5","5"
"3042","7","7","7"
"3049","7","7","7"
"3056","11","11","11"
"3063","7","7","7"
"3070","4","4","4"
"3077","6","6","6"
"3084","4","4","4"
"3091","5","5","5"
"3098","9","9","9"
"3105","2","2","2"
"3112","6","6","6"
"3119","5","5","5"
"3126","5","5","5"
"3133","7","7","7"
"3140","1","1","1"
"3147","14","14","14"
"3154","5","5","5"
"3169","8","8","8"
"3176","8","8","8"
"3183","10","10","10"
"3190","6","6","6"
"3197","7","7","7"
"3204","11","11","11"
"3211","7","7","7"
"3218","6","6","6"
"3225","7","7","7"
"3232","8","8","8"
"3239","6","6","6"
"3250","2","2","2"
"3257","4","4","4"
"3268","7","7","7"
"3275","5","5","5"
"3282","7","7","7"
"3289","12","12","12"
"3296","8","8","8"
"3303","7","7","7"
"3310","6","6","6"
"3317","5","5","5"
"3324","9","9","9"
"3331","5","5","5"
"3338","7","7","7"
"3345","2","2","2"
"3352","12","12","12"
"3359","5","5","5"
"3366","5","5","5"
"3373","7","7","7"
"3380","6","6","6"
"3387","4","4","4"
"3394","4","4","4"
"3401","9","9","9"
"3408","7","7","7"
"3415","10","10","10"
"3422","8","8","8"
"3429","4","4","4"
"3436","10","10","10"
"3443","6","6","6"
"3450","6","6","6"
"3457","2","2","2"
"3464","5","5","5"
"3471","6","6","6"
"3478","3","3","3"
"3485","9","9","9"
"3492","7","7","7"
"3499","6","6","6"
"3506","4","4","4"
"3513","5","5","5"
"3520","1","1","1"
"3527","4","4","4"
"3534","6","6","6"
"3541","7","7","7"
"3548","10","10","10"
"3555","4","4","4"
"3562","14","14","14"
"3569","9","9","9"
"3576","5","5","5"
"3583","8","8","8"
"3590","9","9","9"
"3597","6","6","6"
"3604","5","5","5"
"3611","12","12","12"
"3618","7","7","7"
"3625","6","6","6"
"3632","2","2","2"
"3639","4","4","4"
"3646","11","11","11"
"3653","6","6","6"
"3660","9","9","9"
"3667","8","8","8"
"3674","4","4","4"
"3681","2","2","2"
"3688","11","11","11"
"3695","1","1","1"
"3702","4","4","4"
"3709","9","9","9"
"3716","9","9","9"
"3723","7","7","7"
"3730","6","6","6"
"3737","8","8","8"
"3744","4","4","4"
"3751","9","9","9"
"3758","5","5","5"
"3765","7","7","7"
"3772","3","3","3"
"3779","5","5","5"
"3786","3","3","3"
"3793","4","4","4"
"3800","7","7","7"
"3807","5","5","5"
"3814","2","2","2"
"3821","9","9","9"
"3828","6","6","6"
"3835","5","5","5"
"3842","8","8","8"
"3849","5","5","5"
"3856","2","2","2"
"3863","5","5","5"
"3870","4","4","4"
"3877","2","2","2"
"3884","3","3","3"
"3891","6","6","6"
"3898","6","6","6"
"3905","11","11","11"
"3912","6","6","6"
"3919","5","5","5"
"3926","8","8","8"
"3933","5","5","5"
"3940","4","4","4"
"3947","9","9","9"
"3954","8","8","8"
"3961","4","4","4"
"3968","6","6","6"
"3975","8","8","8"
"3982","4","4","4"
"3989","3","3","3"
"3996","4","4","4"
"4003","6","6","6"
"4010","5","5","5"
"4017","5","5","5"
"4024","4","4","4"
"4031","6","6","6"
"4038","2","2","2"
"4045","3","3","3"
"4052","6","6","6"
"4059","6","6","6"
"4066","3","3","3"
"4073","5","5","5"
"4080","4","4","4"
"4087","5","5","5"
"4094","7","7","7"
"4101","5","5","5"
"4108","5","5","5"
"4115","9","9","9"
"4122","4","4","4"
"4129","3","3","3"
"4136","7","7","7"
"4143","4","4","4"
"4150","5","5","5"
"4157","7","7","7"
"4164","5","5","5"
"4171","8","8","8"
"4178","4","4","4"
"4185","4","4","4"
"4192","6","6","6"
"4199","6","6","6"
"4206","5","5","5"
"4213","8","8","8"
"4220","2","2","2"
"4227","9","9","9"
"4234","5","5","5"
"4241","4","4","4"
"4248","2","2","2"
"4255","8","8","8"
"4262","7","7","7"
"4269","6","6","6"
"4276","9","9","9"
"4283","9","9","9"
"4290","2","2","2"
"4297","5","5","5"
"4304","5","5","5"
"4311","6","6","6"
"4318","5","5","5"
"4325","3","3","3"
"4332","5","5","5"
"4339","3","3","3"
"4354","3","3","3"
"4361","5","5","5"
"4368","1","1","1"
"4375","9","9","9"
"4382","5","5","5"
"4389","8","8","8"
"4396","1","1","1"
"4403","7","7","7"
"4410","3","3","3"
"4417","7","7","7"
"4424","3","3","3"
"4431","8","8","8"
"4438","3","3","3"
"4445","3","3","3"
"4452","4","4","4"
"4459","4","4","4"
"4466","3","3","3"
"4473","2","2","2"
"4480","8","8","8"
"4487","4","4","4"
"4494","3","3","3"
"4501","5","5","5"
"4508","4","4","4"
"4515","4","4","4"
"4522","6","6","6"
"4529","6","6","6"
"4536","2","2","2"
"4543","5","5","5"
"4550","3","3","3"
"4557","4","4","4"
"4564","3","3","3"
"4571","3","3","3"
"4578","5","5","5"
"4585","6","6","6"
"4592","4","4","4"
"4599","4","4","4"
"4606","3","3","3"
"4613","3","3","3"
"4620","4","4","4"
"4627","4","4","4"
"4634","7","7","7"
"4641","3","3","3"
"4648","3","3","3"
"4655","3","3","3"
"4662","6","6","6"
"4669","1","1","1"
"4676","6","6","6"
"4683","3","3","3"
"4690","2","2","2"
"4697","5","5","5"
"4704","5","5","5"
"4711","3","3","3"
"4718","1","1","1"
"4725","5","5","5"
"4732","3","3","3"
"4739","10","10","10"
"4746","5","5","5"
"4753","4","4","4"
"4760","7","7","7"
"4767","4","4","4"
"4774","4","4","4"
"4781","4","4","4"
"4788","3","3","3"
"4795","2","2","2"
"4802","2","2","2"
"4809","3","3","3"
"4816","7","7","7"
"4823","8","8","8"
"4830","7","7","7"
"4837","5","5","5"
"4844","1","1","1"
"4851","9","9","9"
"4858","2","2","2"
"4865","6","6","6"
"4872","7","7","7"
"4879","8","8","8"
"4886","1","1","1"
"4893","3","3","3"
"4900","4","4","4"
"4907","3","3","3"
"4914","4","4","4"
"4921","5","5","5"
"4928","1","1","1"
"4935","5","5","5"
"4942","5","5","5"
"4949","5","5","5"
"4956","4","4","4"
"4963","2","2","2"
"4970","3","3","3"
"4977","5","5","5"
"4984","1","1","1"
"4991","5","5","5"
"4998","4","4","4"
"5005","4","4","4"
"5012","2","2","2"
"5019","5","5","5"
"5026","2","2","2"
"5033","4","4","4"
"5040","2","2","2"
"5047","4","4","4"
"5054","3","3","3"
"5061","4","4","4"
"5068","3","3","3"
"5075","0","0","0"
"5082","5","5","5"
"5089","3","3","3"
"5096","4","4","4"
"5103","2","2","2"
"5110","5","5","5"
"5117","3","3","3"
"5124","4","4","4"
"5131","3","3","3"
"5138","1","1","1"
"5145","7","7","7"
"5152","2","2","2"
"5159","3","3","3"
"5166","4","4","4"
"5173","3","3","3"
"5180","4","4","4"
"5187","1","1","1"
"5194","2","2","2"
"5201","3","3","3"
"5208","3","3","3"
"5215","2","2","2"
"5222","4","4","4"
"5229","2","2","2"
"5236","3","3","3"
"5243","3","3","3"
"5250","2","2","2"
"5257","2","2","2"
"5264","3","3","3"
"5271","4","4","4"
"5278","6","6","6"
"5285","7","7","7"
"5292","3","3","3"
"5299","3","3","3"
"5306","3","3","3"
"5313","3","3","3"
"5320","2","2","2"
"5327","4","4","4"
"5334","3","3","3"
"5341","3","3","3"
"5348","2","2","2"
"5355","4","4","4"
"5362","2","2","2"
"5369","4","4","4"
"5376","5","5","5"
"5383","7","7","7"
"5390","3","3","3"
"5397","4","4","4"
"5404","2","2","2"
"5411","3","3","3"
"5418","6","6","6"
"5433","3","3","3"
"5440","2","2","2"
"5447","5","5","5"
"5454","3","3","3"
"5465","1","1","1"
"5472","0","0","0"
"5479","4","4","4"
"5486","3","3","3"
"5493","1","1","1"
"5500","4","4","4"
"5507","5","5","5"
"5514","3","3","3"
"5521","2","2","2"
"5528","0","0","0"
"5535","4","4","4"
"5542","5","5","5"
"5549","4","4","4"
"5556","4","4","4"
"5563","2","2","2"
"5570","1","1","1"
"5577","2","2","2"
"5584","1","1","1"
"5591","1","1","1"
"5598","2","2","2"
"5605","1","1","1"
"5612","3","3","3"
"5619","3","3","3"
"5626","0","0","0"
"5633","0","0","0"
"5640","0","0","0"
"5647","2","2","2"
"5654","3","3","3"
"5661","1","1","1"
"5668","3","3","3"
"5675","2","2","2"
"5682","3","3","3"
"5689","2","2","2"
"5696","2","2","2"
"5703","1","1","1"
"5710","1","1","1"
"5717","3","3","3"
"5724","3","3","3"
"5731","2","2","2"
"5738","3","3","3"
"5745","0","0","0"
"5752","2","2","2"
"5759","1","1","1"
"5766","2","2","2"
"5773","4","4","4"
"5780","2","2","2"
"5787","3","3","3"
"5794","3","3","3"
"5801","7","7","7"
"5808","2","2","2"
"5815","2","2","2"
"5822","2","2","2"
"5829","1","1","1"
"5836","3","3","3"
"5843","0","0","0"
"5850","0","0","0"
"5857","5","5","5"
"5864","0","0","0"
"5871","2","2","2"
"5878","4","4","4"
"5885","1","1","1"
"5892","8","8","8"
"5899","1","1","1"
"5906","1","1","1"
"5913","1","1","1"
"5920","6","6","6"
"5927","2","2","2"
"5934","1","1","1"
"5941","2","2","2"
"5948","1","1","1"
"5955","1","1","1"
"5962","3","3","3"
"5969","1","1","1"
"5976","4","4","4"
