"Step","eager-universe-7 - Smallest CBF constraint(unfiltered)","eager-universe-7 - Smallest CBF constraint(unfiltered)__MIN","eager-universe-7 - Smallest CBF constraint(unfiltered)__MAX"
"280","-1.0894817113876343","-1.0894817113876343","-1.0894817113876343"
"282","-1.033390760421753","-1.033390760421753","-1.033390760421753"
"284","-1.6062403917312622","-1.6062403917312622","-1.6062403917312622"
"286","-0.7367764711380005","-0.7367764711380005","-0.7367764711380005"
"288","-1.4751214981079102","-1.4751214981079102","-1.4751214981079102"
"290","-1.762022614479065","-1.762022614479065","-1.762022614479065"
"292","-1.4702460765838623","-1.4702460765838623","-1.4702460765838623"
"294","-1.573403239250183","-1.573403239250183","-1.573403239250183"
"296","-1.6877565383911133","-1.6877565383911133","-1.6877565383911133"
"305","-1.1377087831497192","-1.1377087831497192","-1.1377087831497192"
"307","-1.4417322874069214","-1.4417322874069214","-1.4417322874069214"
"309","-1.4581198692321777","-1.4581198692321777","-1.4581198692321777"
"311","-0.8682668805122375","-0.8682668805122375","-0.8682668805122375"
"313","-1.846390962600708","-1.846390962600708","-1.846390962600708"
"315","-0.588207483291626","-0.588207483291626","-0.588207483291626"
"317","-1.6334336996078491","-1.6334336996078491","-1.6334336996078491"
"319","-1.1708505153656006","-1.1708505153656006","-1.1708505153656006"
"321","-1.2820816040039062","-1.2820816040039062","-1.2820816040039062"
"323","-1.417600393295288","-1.417600393295288","-1.417600393295288"
"325","-1.5840245485305786","-1.5840245485305786","-1.5840245485305786"
"327","-1.6679245233535767","-1.6679245233535767","-1.6679245233535767"
"329","-1.8651630878448486","-1.8651630878448486","-1.8651630878448486"
"331","-1.8222280740737915","-1.8222280740737915","-1.8222280740737915"
"333","-1.8669718503952026","-1.8669718503952026","-1.8669718503952026"
"335","-1.550034523010254","-1.550034523010254","-1.550034523010254"
"337","-1.4379810094833374","-1.4379810094833374","-1.4379810094833374"
"339","-1.1302707195281982","-1.1302707195281982","-1.1302707195281982"
"341","-0.840065598487854","-0.840065598487854","-0.840065598487854"
"343","-1.4879109859466553","-1.4879109859466553","-1.4879109859466553"
"345","-1.8917627334594727","-1.8917627334594727","-1.8917627334594727"
"347","-1.558289647102356","-1.558289647102356","-1.558289647102356"
"349","-1.169851541519165","-1.169851541519165","-1.169851541519165"
"351","-1.5957345962524414","-1.5957345962524414","-1.5957345962524414"
"353","-1.224155068397522","-1.224155068397522","-1.224155068397522"
"355","-1.9422721862792969","-1.9422721862792969","-1.9422721862792969"
"357","-1.0673760175704956","-1.0673760175704956","-1.0673760175704956"
"359","-1.7251434326171875","-1.7251434326171875","-1.7251434326171875"
"361","-1.576269268989563","-1.576269268989563","-1.576269268989563"
"363","-1.3510106801986694","-1.3510106801986694","-1.3510106801986694"
"365","-1.7578926086425781","-1.7578926086425781","-1.7578926086425781"
"367","-1.7702770233154297","-1.7702770233154297","-1.7702770233154297"
"369","-1.9564887285232544","-1.9564887285232544","-1.9564887285232544"
"371","-1.466882348060608","-1.466882348060608","-1.466882348060608"
"373","-1.9368385076522827","-1.9368385076522827","-1.9368385076522827"
"375","-1.7461223602294922","-1.7461223602294922","-1.7461223602294922"
"377","-1.2925753593444824","-1.2925753593444824","-1.2925753593444824"
"379","-1.4485909938812256","-1.4485909938812256","-1.4485909938812256"
"381","-1.5695017576217651","-1.5695017576217651","-1.5695017576217651"
"383","-1.5479624271392822","-1.5479624271392822","-1.5479624271392822"
"385","-1.3619455099105835","-1.3619455099105835","-1.3619455099105835"
"387","-1.2792648077011108","-1.2792648077011108","-1.2792648077011108"
"389","-1.8564293384552002","-1.8564293384552002","-1.8564293384552002"
"391","-1.3115421533584595","-1.3115421533584595","-1.3115421533584595"
"393","-1.2315367460250854","-1.2315367460250854","-1.2315367460250854"
"395","-1.595401406288147","-1.595401406288147","-1.595401406288147"
"397","-1.1516547203063965","-1.1516547203063965","-1.1516547203063965"
"399","-1.6732672452926636","-1.6732672452926636","-1.6732672452926636"
"401","-0.8458244204521179","-0.8458244204521179","-0.8458244204521179"
"407","-1.2013516426086426","-1.2013516426086426","-1.2013516426086426"
"409","-1.4381279945373535","-1.4381279945373535","-1.4381279945373535"
"411","-1.7219191789627075","-1.7219191789627075","-1.7219191789627075"
"413","-1.1392308473587036","-1.1392308473587036","-1.1392308473587036"
"415","-0.9708833694458008","-0.9708833694458008","-0.9708833694458008"
"417","-0.7811776399612427","-0.7811776399612427","-0.7811776399612427"
"419","-1.2169771194458008","-1.2169771194458008","-1.2169771194458008"
"421","-0.9556484818458557","-0.9556484818458557","-0.9556484818458557"
"423","-1.2601706981658936","-1.2601706981658936","-1.2601706981658936"
"425","-1.3719613552093506","-1.3719613552093506","-1.3719613552093506"
"427","-1.492377519607544","-1.492377519607544","-1.492377519607544"
"429","-1.3084717988967896","-1.3084717988967896","-1.3084717988967896"
"431","-1.5566593408584595","-1.5566593408584595","-1.5566593408584595"
"433","-0.9856202006340027","-0.9856202006340027","-0.9856202006340027"
"435","-1.2103475332260132","-1.2103475332260132","-1.2103475332260132"
"437","-1.456342339515686","-1.456342339515686","-1.456342339515686"
"439","-0.7111665606498718","-0.7111665606498718","-0.7111665606498718"
"441","-1.277555227279663","-1.277555227279663","-1.277555227279663"
"443","-1.1413042545318604","-1.1413042545318604","-1.1413042545318604"
"445","-1.9526214599609375","-1.9526214599609375","-1.9526214599609375"
"447","-1.2060770988464355","-1.2060770988464355","-1.2060770988464355"
"449","-1.1131683588027954","-1.1131683588027954","-1.1131683588027954"
"451","-1.0439475774765015","-1.0439475774765015","-1.0439475774765015"
"453","-0.9012148976325989","-0.9012148976325989","-0.9012148976325989"
"455","-1.0380064249038696","-1.0380064249038696","-1.0380064249038696"
"457","-1.9444118738174438","-1.9444118738174438","-1.9444118738174438"
"459","-1.2369141578674316","-1.2369141578674316","-1.2369141578674316"
"461","-0.940631091594696","-0.940631091594696","-0.940631091594696"
"463","-1.0456974506378174","-1.0456974506378174","-1.0456974506378174"
"465","-1.5072481632232666","-1.5072481632232666","-1.5072481632232666"
"467","-1.5000665187835693","-1.5000665187835693","-1.5000665187835693"
"469","-1.559760332107544","-1.559760332107544","-1.559760332107544"
"471","-1.0581930875778198","-1.0581930875778198","-1.0581930875778198"
"473","-1.2565923929214478","-1.2565923929214478","-1.2565923929214478"
"475","-0.7326488494873047","-0.7326488494873047","-0.7326488494873047"
"477","-0.9229168891906738","-0.9229168891906738","-0.9229168891906738"
"479","-1.7532997131347656","-1.7532997131347656","-1.7532997131347656"
"481","-1.267470359802246","-1.267470359802246","-1.267470359802246"
"483","-0.7804392576217651","-0.7804392576217651","-0.7804392576217651"
"485","-1.2511693239212036","-1.2511693239212036","-1.2511693239212036"
"487","-1.5369367599487305","-1.5369367599487305","-1.5369367599487305"
"489","-1.4428411722183228","-1.4428411722183228","-1.4428411722183228"
"491","-1.2918262481689453","-1.2918262481689453","-1.2918262481689453"
"493","-0.9820870161056519","-0.9820870161056519","-0.9820870161056519"
"495","-1.0490931272506714","-1.0490931272506714","-1.0490931272506714"
"497","-1.285224437713623","-1.285224437713623","-1.285224437713623"
"499","-1.3838896751403809","-1.3838896751403809","-1.3838896751403809"
"501","-1.6290690898895264","-1.6290690898895264","-1.6290690898895264"
"503","-1.3860654830932617","-1.3860654830932617","-1.3860654830932617"
"505","-1.4395979642868042","-1.4395979642868042","-1.4395979642868042"
"507","-1.768809199333191","-1.768809199333191","-1.768809199333191"
"509","-0.7599000334739685","-0.7599000334739685","-0.7599000334739685"
"511","-1.1531299352645874","-1.1531299352645874","-1.1531299352645874"
"513","-1.1877379417419434","-1.1877379417419434","-1.1877379417419434"
"515","-1.6464195251464844","-1.6464195251464844","-1.6464195251464844"
"517","-1.7892205715179443","-1.7892205715179443","-1.7892205715179443"
"519","-0.6114948391914368","-0.6114948391914368","-0.6114948391914368"
"521","-1.3718763589859009","-1.3718763589859009","-1.3718763589859009"
"523","-1.1161479949951172","-1.1161479949951172","-1.1161479949951172"
"525","-1.2029595375061035","-1.2029595375061035","-1.2029595375061035"
"527","-1.1058740615844727","-1.1058740615844727","-1.1058740615844727"
"529","-0.8971465826034546","-0.8971465826034546","-0.8971465826034546"
"531","-0.6204718351364136","-0.6204718351364136","-0.6204718351364136"
"533","-0.8317254781723022","-0.8317254781723022","-0.8317254781723022"
"535","-1.2796050310134888","-1.2796050310134888","-1.2796050310134888"
"537","-1.022924780845642","-1.022924780845642","-1.022924780845642"
"539","-0.9787192344665527","-0.9787192344665527","-0.9787192344665527"
"541","-1.2159748077392578","-1.2159748077392578","-1.2159748077392578"
"543","-1.301201343536377","-1.301201343536377","-1.301201343536377"
"545","-1.151787281036377","-1.151787281036377","-1.151787281036377"
"547","-1.3902604579925537","-1.3902604579925537","-1.3902604579925537"
"549","-0.9340546131134033","-0.9340546131134033","-0.9340546131134033"
"551","-1.5671225786209106","-1.5671225786209106","-1.5671225786209106"
"553","-0.9166610240936279","-0.9166610240936279","-0.9166610240936279"
"555","-0.8402177095413208","-0.8402177095413208","-0.8402177095413208"
"557","-0.8422805666923523","-0.8422805666923523","-0.8422805666923523"
"559","-0.977793276309967","-0.977793276309967","-0.977793276309967"
"561","-1.1045565605163574","-1.1045565605163574","-1.1045565605163574"
"563","-1.07465660572052","-1.07465660572052","-1.07465660572052"
"565","-1.0176711082458496","-1.0176711082458496","-1.0176711082458496"
"567","-1.8835877180099487","-1.8835877180099487","-1.8835877180099487"
"569","-0.9138050079345703","-0.9138050079345703","-0.9138050079345703"
"571","-0.9545398950576782","-0.9545398950576782","-0.9545398950576782"
"573","-0.6814874410629272","-0.6814874410629272","-0.6814874410629272"
"575","-1.2706679105758667","-1.2706679105758667","-1.2706679105758667"
"577","-1.3703597784042358","-1.3703597784042358","-1.3703597784042358"
"579","-0.9856579303741455","-0.9856579303741455","-0.9856579303741455"
"581","-0.7809012532234192","-0.7809012532234192","-0.7809012532234192"
"583","-0.658389687538147","-0.658389687538147","-0.658389687538147"
"585","-1.4941504001617432","-1.4941504001617432","-1.4941504001617432"
"587","-1.6956244707107544","-1.6956244707107544","-1.6956244707107544"
"589","-1.1970343589782715","-1.1970343589782715","-1.1970343589782715"
"591","-0.7101474404335022","-0.7101474404335022","-0.7101474404335022"
"593","-0.41033515334129333","-0.41033515334129333","-0.41033515334129333"
"595","-1.36846125125885","-1.36846125125885","-1.36846125125885"
"597","-1.0178239345550537","-1.0178239345550537","-1.0178239345550537"
"599","-0.7213962078094482","-0.7213962078094482","-0.7213962078094482"
"601","-1.1247124671936035","-1.1247124671936035","-1.1247124671936035"
"603","-0.4673679769039154","-0.4673679769039154","-0.4673679769039154"
"605","-1.1924498081207275","-1.1924498081207275","-1.1924498081207275"
"607","-1.4953776597976685","-1.4953776597976685","-1.4953776597976685"
"609","-0.6852760314941406","-0.6852760314941406","-0.6852760314941406"
"611","-0.3712562918663025","-0.3712562918663025","-0.3712562918663025"
"613","-1.145394206047058","-1.145394206047058","-1.145394206047058"
"615","-0.6458327174186707","-0.6458327174186707","-0.6458327174186707"
"617","-1.3474282026290894","-1.3474282026290894","-1.3474282026290894"
"619","-0.6895850300788879","-0.6895850300788879","-0.6895850300788879"
"629","-0.5856069326400757","-0.5856069326400757","-0.5856069326400757"
"631","-0.9408159852027893","-0.9408159852027893","-0.9408159852027893"
"633","-0.5942777395248413","-0.5942777395248413","-0.5942777395248413"
"635","-1.8347004652023315","-1.8347004652023315","-1.8347004652023315"
"637","-1.5492124557495117","-1.5492124557495117","-1.5492124557495117"
"639","-0.7517604827880859","-0.7517604827880859","-0.7517604827880859"
"641","-1.1984655857086182","-1.1984655857086182","-1.1984655857086182"
"643","-0.805644154548645","-0.805644154548645","-0.805644154548645"
"645","-0.4460546672344208","-0.4460546672344208","-0.4460546672344208"
"647","-1.2759366035461426","-1.2759366035461426","-1.2759366035461426"
"649","-0.8284499049186707","-0.8284499049186707","-0.8284499049186707"
"651","-1.2724592685699463","-1.2724592685699463","-1.2724592685699463"
"653","-1.1922128200531006","-1.1922128200531006","-1.1922128200531006"
"655","-0.7138841152191162","-0.7138841152191162","-0.7138841152191162"
"657","-1.5638707876205444","-1.5638707876205444","-1.5638707876205444"
"659","-1.2093137502670288","-1.2093137502670288","-1.2093137502670288"
"661","-0.442225843667984","-0.442225843667984","-0.442225843667984"
"663","-1.509158968925476","-1.509158968925476","-1.509158968925476"
"665","-1.091977834701538","-1.091977834701538","-1.091977834701538"
"667","-0.8319876194000244","-0.8319876194000244","-0.8319876194000244"
"669","-0.5212295055389404","-0.5212295055389404","-0.5212295055389404"
"671","-0.6540182828903198","-0.6540182828903198","-0.6540182828903198"
"673","-1.5382593870162964","-1.5382593870162964","-1.5382593870162964"
"675","-0.4381440579891205","-0.4381440579891205","-0.4381440579891205"
"677","-0.9472187161445618","-0.9472187161445618","-0.9472187161445618"
"679","-0.22116674482822418","-0.22116674482822418","-0.22116674482822418"
"681","-1.4055589437484741","-1.4055589437484741","-1.4055589437484741"
"683","-1.0406423807144165","-1.0406423807144165","-1.0406423807144165"
"685","-1.6475250720977783","-1.6475250720977783","-1.6475250720977783"
"687","-2.019986152648926","-2.019986152648926","-2.019986152648926"
"689","-0.3501811623573303","-0.3501811623573303","-0.3501811623573303"
"691","-1.0976845026016235","-1.0976845026016235","-1.0976845026016235"
"693","-0.702356219291687","-0.702356219291687","-0.702356219291687"
"695","-0.9806616902351379","-0.9806616902351379","-0.9806616902351379"
"697","-0.9995179176330566","-0.9995179176330566","-0.9995179176330566"
"699","-1.1479284763336182","-1.1479284763336182","-1.1479284763336182"
"701","-1.195495367050171","-1.195495367050171","-1.195495367050171"
"703","-1.2503864765167236","-1.2503864765167236","-1.2503864765167236"
"705","-0.6409586668014526","-0.6409586668014526","-0.6409586668014526"
"707","-0.6704570055007935","-0.6704570055007935","-0.6704570055007935"
"709","-0.7012038826942444","-0.7012038826942444","-0.7012038826942444"
"711","-0.4833492040634155","-0.4833492040634155","-0.4833492040634155"
"713","-1.5321478843688965","-1.5321478843688965","-1.5321478843688965"
"715","-1.1569106578826904","-1.1569106578826904","-1.1569106578826904"
"717","-1.7688307762145996","-1.7688307762145996","-1.7688307762145996"
"719","-0.8138492107391357","-0.8138492107391357","-0.8138492107391357"
"721","-0.9669080376625061","-0.9669080376625061","-0.9669080376625061"
"723","-0.9858596324920654","-0.9858596324920654","-0.9858596324920654"
"725","-1.0215407609939575","-1.0215407609939575","-1.0215407609939575"
