"Step","eager-universe-7 - Smallest CBF value","eager-universe-7 - Smallest CBF value__MIN","eager-universe-7 - Smallest CBF value__MAX"
"995","-0.286516934633255","-0.286516934633255","-0.286516934633255"
"997","-0.22453077137470245","-0.22453077137470245","-0.22453077137470245"
"999","-0.2800951898097992","-0.2800951898097992","-0.2800951898097992"
"1001","-0.16853460669517517","-0.16853460669517517","-0.16853460669517517"
"1003","-0.2213989943265915","-0.2213989943265915","-0.2213989943265915"
"1007","-0.24649842083454132","-0.24649842083454132","-0.24649842083454132"
"1011","-0.21971356868743896","-0.21971356868743896","-0.21971356868743896"
"1013","-0.2223752737045288","-0.2223752737045288","-0.2223752737045288"
"1015","-0.20992214977741241","-0.20992214977741241","-0.20992214977741241"
"1017","-0.21395555138587952","-0.21395555138587952","-0.21395555138587952"
"1019","-0.17375367879867554","-0.17375367879867554","-0.17375367879867554"
"1021","-0.2078905701637268","-0.2078905701637268","-0.2078905701637268"
"1023","-0.31212884187698364","-0.31212884187698364","-0.31212884187698364"
"1025","-0.2958575487136841","-0.2958575487136841","-0.2958575487136841"
"1029","-0.2944353520870209","-0.2944353520870209","-0.2944353520870209"
"1033","-0.22490809857845306","-0.22490809857845306","-0.22490809857845306"
"1037","-0.2348800003528595","-0.2348800003528595","-0.2348800003528595"
"1039","-0.23694804310798645","-0.23694804310798645","-0.23694804310798645"
"1041","-0.24318856000900269","-0.24318856000900269","-0.24318856000900269"
"1045","-0.21346068382263184","-0.21346068382263184","-0.21346068382263184"
"1049","-0.22966140508651733","-0.22966140508651733","-0.22966140508651733"
"1057","-0.1821223795413971","-0.1821223795413971","-0.1821223795413971"
"1059","-0.23058469593524933","-0.23058469593524933","-0.23058469593524933"
"1061","-0.2303132265806198","-0.2303132265806198","-0.2303132265806198"
"1067","-0.2320019155740738","-0.2320019155740738","-0.2320019155740738"
"1069","-0.2566157281398773","-0.2566157281398773","-0.2566157281398773"
"1071","-0.2526230216026306","-0.2526230216026306","-0.2526230216026306"
"1073","-0.24153569340705872","-0.24153569340705872","-0.24153569340705872"
"1075","-0.227107971906662","-0.227107971906662","-0.227107971906662"
"1079","-0.20053048431873322","-0.20053048431873322","-0.20053048431873322"
"1081","-0.19423606991767883","-0.19423606991767883","-0.19423606991767883"
"1083","-0.17480458319187164","-0.17480458319187164","-0.17480458319187164"
"1085","-0.19635044038295746","-0.19635044038295746","-0.19635044038295746"
"1087","-0.2126251757144928","-0.2126251757144928","-0.2126251757144928"
"1091","-0.19679753482341766","-0.19679753482341766","-0.19679753482341766"
"1095","-0.2048901468515396","-0.2048901468515396","-0.2048901468515396"
"1099","-0.20148558914661407","-0.20148558914661407","-0.20148558914661407"
"1101","-0.20765270292758942","-0.20765270292758942","-0.20765270292758942"
