"Step","eager-universe-7 - global_step","eager-universe-7 - global_step__MIN","eager-universe-7 - global_step__MAX"
"19036","2310144","2310144","2310144"
"19037","2310144","2310144","2310144"
"19038","2326528","2326528","2326528"
"19039","2326528","2326528","2326528"
"19040","2326528","2326528","2326528"
"19064","2326528","2326528","2326528"
"19065","2342912","2342912","2342912"
"19066","2342912","2342912","2342912"
"19067","2342912","2342912","2342912"
"19382","2342912","2342912","2342912"
"19383","2359296","2359296","2359296"
"19384","2359296","2359296","2359296"
"19385","2359296","2359296","2359296"
"19386","2359296","2359296","2359296"
"19387","2375680","2375680","2375680"
"19388","2375680","2375680","2375680"
"19389","2375680","2375680","2375680"
"19695","2375680","2375680","2375680"
"19696","2392064","2392064","2392064"
"19697","2392064","2392064","2392064"
"19698","2392064","2392064","2392064"
"19699","2392064","2392064","2392064"
"19700","2408448","2408448","2408448"
"19701","2408448","2408448","2408448"
"19702","2408448","2408448","2408448"
"19714","2408448","2408448","2408448"
"19715","2424832","2424832","2424832"
"19716","2424832","2424832","2424832"
"19717","2424832","2424832","2424832"
"20028","2424832","2424832","2424832"
"20029","2441216","2441216","2441216"
"20030","2441216","2441216","2441216"
"20031","2441216","2441216","2441216"
"20032","2441216","2441216","2441216"
"20033","2457600","2457600","2457600"
"20034","2457600","2457600","2457600"
"20035","2457600","2457600","2457600"
"20349","2457600","2457600","2457600"
"20350","2473984","2473984","2473984"
"20351","2473984","2473984","2473984"
"20352","2473984","2473984","2473984"
"20353","2473984","2473984","2473984"
"20354","2490368","2490368","2490368"
"20355","2490368","2490368","2490368"
"20356","2490368","2490368","2490368"
"20619","2490368","2490368","2490368"
"20620","2506752","2506752","2506752"
"20621","2506752","2506752","2506752"
"20622","2506752","2506752","2506752"
"20623","2506752","2506752","2506752"
"20624","2523136","2523136","2523136"
"20625","2523136","2523136","2523136"
"20626","2523136","2523136","2523136"
"20677","2523136","2523136","2523136"
"20678","2539520","2539520","2539520"
"20679","2539520","2539520","2539520"
"20680","2539520","2539520","2539520"
"20991","2539520","2539520","2539520"
"20992","2555904","2555904","2555904"
"20993","2555904","2555904","2555904"
"20994","2555904","2555904","2555904"
"20995","2555904","2555904","2555904"
"20996","2572288","2572288","2572288"
"20997","2572288","2572288","2572288"
"20998","2572288","2572288","2572288"
"21281","2572288","2572288","2572288"
"21282","2588672","2588672","2588672"
"21283","2588672","2588672","2588672"
"21284","2588672","2588672","2588672"
"21285","2588672","2588672","2588672"
"21286","2605056","2605056","2605056"
"21287","2605056","2605056","2605056"
"21288","2605056","2605056","2605056"
"21317","2605056","2605056","2605056"
"21318","2621440","2621440","2621440"
"21319","2621440","2621440","2621440"
"21320","2621440","2621440","2621440"
"21637","2621440","2621440","2621440"
"21638","2637824","2637824","2637824"
"21639","2637824","2637824","2637824"
"21640","2637824","2637824","2637824"
"21641","2637824","2637824","2637824"
"21642","2654208","2654208","2654208"
"21643","2654208","2654208","2654208"
"21644","2654208","2654208","2654208"
"21945","2654208","2654208","2654208"
"21946","2670592","2670592","2670592"
"21947","2670592","2670592","2670592"
"21948","2670592","2670592","2670592"
"21949","2670592","2670592","2670592"
"21950","2686976","2686976","2686976"
"21951","2686976","2686976","2686976"
"21952","2686976","2686976","2686976"
"21965","2686976","2686976","2686976"
"21966","2703360","2703360","2703360"
"21967","2703360","2703360","2703360"
"21968","2703360","2703360","2703360"
"22279","2703360","2703360","2703360"
"22280","2719744","2719744","2719744"
"22281","2719744","2719744","2719744"
"22282","2719744","2719744","2719744"
"22283","2719744","2719744","2719744"
"22284","2736128","2736128","2736128"
"22285","2736128","2736128","2736128"
"22286","2736128","2736128","2736128"
"22601","2736128","2736128","2736128"
"22602","2752512","2752512","2752512"
"22603","2752512","2752512","2752512"
"22604","2752512","2752512","2752512"
"22605","2752512","2752512","2752512"
"22606","2768896","2768896","2768896"
"22607","2768896","2768896","2768896"
"22608","2768896","2768896","2768896"
"22869","2768896","2768896","2768896"
"22870","2785280","2785280","2785280"
"22871","2785280","2785280","2785280"
"22872","2785280","2785280","2785280"
"22873","2785280","2785280","2785280"
