"Step","still-disco-8 - Smallest CBF constraint(unfiltered)","still-disco-8 - Smallest CBF constraint(unfiltered)__MIN","still-disco-8 - Smallest CBF constraint(unfiltered)__MAX"
"465","-1.7263329029083252","-1.7263329029083252","-1.7263329029083252"
"469","-1.8716044425964355","-1.8716044425964355","-1.8716044425964355"
"473","-1.9185264110565186","-1.9185264110565186","-1.9185264110565186"
"481","-2.013076066970825","-2.013076066970825","-2.013076066970825"
"485","-1.878165602684021","-1.878165602684021","-1.878165602684021"
"487","-1.8656686544418335","-1.8656686544418335","-1.8656686544418335"
"489","-1.8621091842651367","-1.8621091842651367","-1.8621091842651367"
"491","-1.68632173538208","-1.68632173538208","-1.68632173538208"
"495","-2.063231945037842","-2.063231945037842","-2.063231945037842"
"497","-1.7058005332946777","-1.7058005332946777","-1.7058005332946777"
"499","-1.7871057987213135","-1.7871057987213135","-1.7871057987213135"
"501","-1.5773588418960571","-1.5773588418960571","-1.5773588418960571"
"503","-2.0064642429351807","-2.0064642429351807","-2.0064642429351807"
"507","-2.0049333572387695","-2.0049333572387695","-2.0049333572387695"
"509","-2.0029232501983643","-2.0029232501983643","-2.0029232501983643"
"511","-1.8107235431671143","-1.8107235431671143","-1.8107235431671143"
"513","-1.8945609331130981","-1.8945609331130981","-1.8945609331130981"
"517","-1.5662603378295898","-1.5662603378295898","-1.5662603378295898"
"521","-1.9672168493270874","-1.9672168493270874","-1.9672168493270874"
"533","-1.9768565893173218","-1.9768565893173218","-1.9768565893173218"
"537","-1.8353421688079834","-1.8353421688079834","-1.8353421688079834"
"539","-1.8525971174240112","-1.8525971174240112","-1.8525971174240112"
"545","-1.9435005187988281","-1.9435005187988281","-1.9435005187988281"
"551","-1.6028863191604614","-1.6028863191604614","-1.6028863191604614"
"553","-1.512153148651123","-1.512153148651123","-1.512153148651123"
"555","-1.8700201511383057","-1.8700201511383057","-1.8700201511383057"
"557","-1.720636248588562","-1.720636248588562","-1.720636248588562"
"565","-1.3096301555633545","-1.3096301555633545","-1.3096301555633545"
"567","-1.683253526687622","-1.683253526687622","-1.683253526687622"
"575","-1.9247326850891113","-1.9247326850891113","-1.9247326850891113"
"581","-1.7114126682281494","-1.7114126682281494","-1.7114126682281494"
"583","-1.68665611743927","-1.68665611743927","-1.68665611743927"
"587","-1.9622923135757446","-1.9622923135757446","-1.9622923135757446"
"589","-1.485116720199585","-1.485116720199585","-1.485116720199585"
"591","-1.8256278038024902","-1.8256278038024902","-1.8256278038024902"
"593","-1.822671890258789","-1.822671890258789","-1.822671890258789"
"595","-1.6932270526885986","-1.6932270526885986","-1.6932270526885986"
"605","-1.7923778295516968","-1.7923778295516968","-1.7923778295516968"
"607","-2.0110437870025635","-2.0110437870025635","-2.0110437870025635"
"609","-1.7648956775665283","-1.7648956775665283","-1.7648956775665283"
"621","-2.0303239822387695","-2.0303239822387695","-2.0303239822387695"
"623","-1.4319411516189575","-1.4319411516189575","-1.4319411516189575"
"635","-1.8600480556488037","-1.8600480556488037","-1.8600480556488037"
"637","-1.861352801322937","-1.861352801322937","-1.861352801322937"
"639","-1.5257773399353027","-1.5257773399353027","-1.5257773399353027"
"641","-1.7730886936187744","-1.7730886936187744","-1.7730886936187744"
"651","-1.9368572235107422","-1.9368572235107422","-1.9368572235107422"
"659","-1.5675663948059082","-1.5675663948059082","-1.5675663948059082"
"661","-1.8889602422714233","-1.8889602422714233","-1.8889602422714233"
"663","-1.5880670547485352","-1.5880670547485352","-1.5880670547485352"
"665","-1.8915432691574097","-1.8915432691574097","-1.8915432691574097"
"667","-1.3760194778442383","-1.3760194778442383","-1.3760194778442383"
"669","-2.0369372367858887","-2.0369372367858887","-2.0369372367858887"
"671","-1.807620644569397","-1.807620644569397","-1.807620644569397"
"675","-1.8325574398040771","-1.8325574398040771","-1.8325574398040771"
"677","-1.524264931678772","-1.524264931678772","-1.524264931678772"
"685","-1.9300190210342407","-1.9300190210342407","-1.9300190210342407"
"687","-1.449571132659912","-1.449571132659912","-1.449571132659912"
"689","-1.748234748840332","-1.748234748840332","-1.748234748840332"
"691","-1.4541360139846802","-1.4541360139846802","-1.4541360139846802"
"697","-1.663162112236023","-1.663162112236023","-1.663162112236023"
"699","-1.9031440019607544","-1.9031440019607544","-1.9031440019607544"
"701","-1.7877870798110962","-1.7877870798110962","-1.7877870798110962"
"703","-1.7827281951904297","-1.7827281951904297","-1.7827281951904297"
"705","-1.7151901721954346","-1.7151901721954346","-1.7151901721954346"
"707","-1.424401044845581","-1.424401044845581","-1.424401044845581"
