"Step","still-disco-8 - global_step","still-disco-8 - global_step__MIN","still-disco-8 - global_step__MAX"
"10980","1294336","1294336","1294336"
"10981","1310720","1310720","1310720"
"10982","1310720","1310720","1310720"
"10983","1310720","1310720","1310720"
"10984","1310720","1310720","1310720"
"10985","1327104","1327104","1327104"
"10986","1327104","1327104","1327104"
"10987","1327104","1327104","1327104"
"11021","1327104","1327104","1327104"
"11022","1343488","1343488","1343488"
"11023","1343488","1343488","1343488"
"11024","1343488","1343488","1343488"
"11338","1343488","1343488","1343488"
"11339","1359872","1359872","1359872"
"11340","1359872","1359872","1359872"
"11341","1359872","1359872","1359872"
"11342","1359872","1359872","1359872"
"11343","1376256","1376256","1376256"
"11344","1376256","1376256","1376256"
"11345","1376256","1376256","1376256"
"11644","1376256","1376256","1376256"
"11645","1392640","1392640","1392640"
"11646","1392640","1392640","1392640"
"11647","1392640","1392640","1392640"
"11648","1392640","1392640","1392640"
"11649","1409024","1409024","1409024"
"11650","1409024","1409024","1409024"
"11651","1409024","1409024","1409024"
"11668","1409024","1409024","1409024"
"11669","1425408","1425408","1425408"
"11670","1425408","1425408","1425408"
"11671","1425408","1425408","1425408"
"11988","1425408","1425408","1425408"
"11989","1441792","1441792","1441792"
"11990","1441792","1441792","1441792"
"11991","1441792","1441792","1441792"
"11992","1441792","1441792","1441792"
"11993","1458176","1458176","1458176"
"11994","1458176","1458176","1458176"
"11995","1458176","1458176","1458176"
"12304","1458176","1458176","1458176"
"12305","1474560","1474560","1474560"
"12306","1474560","1474560","1474560"
"12307","1474560","1474560","1474560"
"12308","1474560","1474560","1474560"
"12309","1490944","1490944","1490944"
"12310","1490944","1490944","1490944"
"12311","1490944","1490944","1490944"
"12315","1490944","1490944","1490944"
"12316","1507328","1507328","1507328"
"12317","1507328","1507328","1507328"
"12318","1507328","1507328","1507328"
"12633","1507328","1507328","1507328"
"12634","1523712","1523712","1523712"
"12635","1523712","1523712","1523712"
"12636","1523712","1523712","1523712"
"12637","1523712","1523712","1523712"
"12638","1540096","1540096","1540096"
"12639","1540096","1540096","1540096"
"12640","1540096","1540096","1540096"
"12955","1540096","1540096","1540096"
"12956","1556480","1556480","1556480"
"12957","1556480","1556480","1556480"
"12958","1556480","1556480","1556480"
"12959","1556480","1556480","1556480"
"12960","1572864","1572864","1572864"
"12961","1572864","1572864","1572864"
"12962","1572864","1572864","1572864"
"13228","1572864","1572864","1572864"
"13229","1589248","1589248","1589248"
"13230","1589248","1589248","1589248"
"13231","1589248","1589248","1589248"
"13232","1589248","1589248","1589248"
"13233","1605632","1605632","1605632"
"13234","1605632","1605632","1605632"
"13235","1605632","1605632","1605632"
"13281","1605632","1605632","1605632"
"13282","1622016","1622016","1622016"
"13283","1622016","1622016","1622016"
"13284","1622016","1622016","1622016"
"13605","1622016","1622016","1622016"
"13606","1638400","1638400","1638400"
"13607","1638400","1638400","1638400"
"13608","1638400","1638400","1638400"
"13609","1638400","1638400","1638400"
"13610","1654784","1654784","1654784"
"13611","1654784","1654784","1654784"
"13612","1654784","1654784","1654784"
"13893","1654784","1654784","1654784"
"13894","1671168","1671168","1671168"
"13895","1671168","1671168","1671168"
"13896","1671168","1671168","1671168"
"13897","1671168","1671168","1671168"
"13898","1687552","1687552","1687552"
"13899","1687552","1687552","1687552"
"13900","1687552","1687552","1687552"
"13935","1687552","1687552","1687552"
"13936","1703936","1703936","1703936"
"13937","1703936","1703936","1703936"
"13938","1703936","1703936","1703936"
"14254","1703936","1703936","1703936"
"14255","1720320","1720320","1720320"
"14256","1720320","1720320","1720320"
"14257","1720320","1720320","1720320"
"14258","1720320","1720320","1720320"
"14259","1736704","1736704","1736704"
"14260","1736704","1736704","1736704"
"14261","1736704","1736704","1736704"
"14551","1736704","1736704","1736704"
"14552","1753088","1753088","1753088"
"14553","1753088","1753088","1753088"
"14554","1753088","1753088","1753088"
"14555","1753088","1753088","1753088"
"14556","1769472","1769472","1769472"
"14557","1769472","1769472","1769472"
"14558","1769472","1769472","1769472"
