"Step","still-disco-8 - step_crash","still-disco-8 - step_crash__MIN","still-disco-8 - step_crash__MAX"
"1810","10","10","10"
"1814","5","5","5"
"1816","10","10","10"
"1820","13","13","13"
"1824","8","8","8"
"1826","7","7","7"
"1830","9","9","9"
"1836","7","7","7"
"1838","10","10","10"
"1840","10","10","10"
"1844","7","7","7"
"1848","4","4","4"
"1852","9","9","9"
"1854","12","12","12"
"1858","12","12","12"
"1864","10","10","10"
"1866","14","14","14"
"1868","10","10","10"
"1870","5","5","5"
"1872","11","11","11"
"1882","5","5","5"
"1884","16","16","16"
"1886","8","8","8"
"1888","6","6","6"
"1892","5","5","5"
"1904","9","9","9"
"1908","13","13","13"
"1914","7","7","7"
"1920","4","4","4"
"1934","7","7","7"
"1936","6","6","6"
"1938","3","3","3"
"1940","5","5","5"
"1944","8","8","8"
"1946","9","9","9"
"1950","5","5","5"
"1954","5","5","5"
"1958","4","4","4"
"1962","6","6","6"
"1966","11","11","11"
"1968","13","13","13"
"1970","8","8","8"
"1972","8","8","8"
"1976","10","10","10"
"1978","6","6","6"
"1986","10","10","10"
"1990","13","13","13"
"1992","9","9","9"
"1994","5","5","5"
"1996","5","5","5"
"2000","12","12","12"
"2002","10","10","10"
"2010","10","10","10"
"2014","3","3","3"
"2018","4","4","4"
"2026","5","5","5"
"2034","5","5","5"
"2038","6","6","6"
"2044","6","6","6"
"2046","9","9","9"
"2048","11","11","11"
"2060","6","6","6"
"2062","3","3","3"
"2066","4","4","4"
"2068","4","4","4"
"2070","11","11","11"
"2076","4","4","4"
"2078","8","8","8"
"2086","5","5","5"
"2090","8","8","8"
"2094","7","7","7"
"2098","10","10","10"
"2100","5","5","5"
"2102","7","7","7"
"2104","5","5","5"
"2108","7","7","7"
"2114","8","8","8"
"2118","7","7","7"
"2124","6","6","6"
"2126","7","7","7"
"2130","5","5","5"
"2132","10","10","10"
"2138","9","9","9"
"2140","8","8","8"
"2148","4","4","4"
"2158","7","7","7"
"2162","3","3","3"
"2166","5","5","5"
"2170","5","5","5"
"2174","4","4","4"
"2186","9","9","9"
"2188","7","7","7"
"2190","7","7","7"
"2194","7","7","7"
"2196","4","4","4"
"2202","11","11","11"
"2204","8","8","8"
"2208","7","7","7"
"2210","2","2","2"
"2216","7","7","7"
"2224","9","9","9"
"2232","6","6","6"
"2234","6","6","6"
"2238","9","9","9"
"2244","7","7","7"
"2246","5","5","5"
"2250","2","2","2"
"2260","10","10","10"
"2262","3","3","3"
"2264","7","7","7"
"2270","7","7","7"
"2274","0","0","0"
"2276","4","4","4"
"2278","8","8","8"
"2288","7","7","7"
"2292","3","3","3"
"2296","6","6","6"
"2302","9","9","9"
"2304","5","5","5"
"2306","4","4","4"
"2310","4","4","4"
"2312","2","2","2"
"2314","5","5","5"
"2318","6","6","6"
"2320","1","1","1"
"2326","9","9","9"
"2330","4","4","4"
"2332","1","1","1"
"2334","5","5","5"
"2338","5","5","5"
"2340","4","4","4"
"2342","5","5","5"
"2348","5","5","5"
"2352","10","10","10"
"2354","4","4","4"
"2358","11","11","11"
"2360","7","7","7"
"2362","5","5","5"
"2372","8","8","8"
"2374","3","3","3"
"2380","3","3","3"
"2382","5","5","5"
"2384","4","4","4"
"2386","3","3","3"
"2388","3","3","3"
"2390","4","4","4"
"2392","4","4","4"
"2394","6","6","6"
"2396","4","4","4"
"2398","8","8","8"
"2400","2","2","2"
"2402","4","4","4"
"2404","7","7","7"
"2408","6","6","6"
"2410","7","7","7"
"2412","4","4","4"
"2414","5","5","5"
"2422","9","9","9"
"2424","3","3","3"
"2428","5","5","5"
"2430","5","5","5"
"2434","5","5","5"
"2438","4","4","4"
"2440","7","7","7"
"2444","4","4","4"
"2446","6","6","6"
"2448","5","5","5"
"2450","7","7","7"
"2452","5","5","5"
"2454","4","4","4"
"2456","2","2","2"
"2458","3","3","3"
"2464","3","3","3"
"2466","2","2","2"
"2468","3","3","3"
"2476","3","3","3"
"2480","4","4","4"
"2484","4","4","4"
"2486","6","6","6"
"2488","4","4","4"
"2492","5","5","5"
"2494","2","2","2"
"2496","4","4","4"
"2502","2","2","2"
"2506","5","5","5"
"2508","6","6","6"
"2512","2","2","2"
"2516","2","2","2"
"2520","6","6","6"
"2530","1","1","1"
"2532","7","7","7"
"2542","4","4","4"
"2546","4","4","4"
"2548","6","6","6"
"2552","3","3","3"
"2554","2","2","2"
"2556","1","1","1"
"2560","4","4","4"
"2566","7","7","7"
"2570","4","4","4"
"2572","3","3","3"
"2574","2","2","2"
"2584","9","9","9"
"2588","5","5","5"
"2590","2","2","2"
"2596","4","4","4"
"2600","1","1","1"
"2604","4","4","4"
"2608","8","8","8"
"2612","1","1","1"
"2624","4","4","4"
"2626","10","10","10"
"2634","2","2","2"
"2642","1","1","1"
"2648","5","5","5"
"2652","7","7","7"
"2658","10","10","10"
"2660","2","2","2"
"2662","5","5","5"
"2664","3","3","3"
"2670","5","5","5"
"2672","5","5","5"
"2674","6","6","6"
"2676","1","1","1"
"2678","4","4","4"
"2680","4","4","4"
"2684","3","3","3"
"2686","1","1","1"
"2688","5","5","5"
"2692","0","0","0"
"2696","4","4","4"
"2698","2","2","2"
"2706","2","2","2"
"2714","2","2","2"
"2716","5","5","5"
"2720","4","4","4"
"2722","1","1","1"
"2724","2","2","2"
"2726","1","1","1"
"2730","3","3","3"
"2732","6","6","6"
"2734","3","3","3"
"2736","3","3","3"
"2740","3","3","3"
"2746","0","0","0"
"2750","2","2","2"
"2752","4","4","4"
"2754","3","3","3"
"2760","1","1","1"
"2764","5","5","5"
"2772","2","2","2"
"2776","4","4","4"
"2778","2","2","2"
"2782","6","6","6"
"2784","3","3","3"
"2788","2","2","2"
"2790","3","3","3"
"2792","0","0","0"
"2794","2","2","2"
"2798","2","2","2"
"2800","3","3","3"
"2804","2","2","2"
"2812","1","1","1"
"2814","1","1","1"
"2818","2","2","2"
"2824","2","2","2"
"2830","2","2","2"
"2834","2","2","2"
"2836","2","2","2"
"2840","3","3","3"
"2842","0","0","0"
"2844","0","0","0"
"2846","2","2","2"
"2848","3","3","3"
"2856","3","3","3"
"2858","3","3","3"
"2866","1","1","1"
"2870","1","1","1"
"2874","0","0","0"
"2876","2","2","2"
"2878","1","1","1"
"2880","0","0","0"
"2882","0","0","0"
"2884","3","3","3"
"2886","2","2","2"
"2888","1","1","1"
"2890","2","2","2"
"2892","2","2","2"
"2894","3","3","3"
"2896","4","4","4"
"2906","1","1","1"
"2914","1","1","1"
"2916","0","0","0"
"2918","1","1","1"
