"Step","still-disco-8 - Smallest CBF value","still-disco-8 - Smallest CBF value__MIN","still-disco-8 - Smallest CBF value__MAX"
"337","-0.2701047360897064","-0.2701047360897064","-0.2701047360897064"
"343","-0.2483620047569275","-0.2483620047569275","-0.2483620047569275"
"347","-0.2360190749168396","-0.2360190749168396","-0.2360190749168396"
"349","-0.20840014517307281","-0.20840014517307281","-0.20840014517307281"
"353","-0.28128695487976074","-0.28128695487976074","-0.28128695487976074"
"355","-0.2730385959148407","-0.2730385959148407","-0.2730385959148407"
"359","-0.23257112503051758","-0.23257112503051758","-0.23257112503051758"
"361","-0.24327759444713593","-0.24327759444713593","-0.24327759444713593"
"363","-0.24931706488132477","-0.24931706488132477","-0.24931706488132477"
"365","-0.2368861883878708","-0.2368861883878708","-0.2368861883878708"
"367","-0.24436841905117035","-0.24436841905117035","-0.24436841905117035"
"369","-0.2497265338897705","-0.2497265338897705","-0.2497265338897705"
"373","-0.2501954138278961","-0.2501954138278961","-0.2501954138278961"
"379","-0.24620576202869415","-0.24620576202869415","-0.24620576202869415"
"381","-0.26652905344963074","-0.26652905344963074","-0.26652905344963074"
"383","-0.27286937832832336","-0.27286937832832336","-0.27286937832832336"
"385","-0.29947370290756226","-0.29947370290756226","-0.29947370290756226"
"389","-0.2402493804693222","-0.2402493804693222","-0.2402493804693222"
"391","-0.24139977991580963","-0.24139977991580963","-0.24139977991580963"
"401","-0.2734018862247467","-0.2734018862247467","-0.2734018862247467"
"415","-0.23889358341693878","-0.23889358341693878","-0.23889358341693878"
"419","-0.2554917633533478","-0.2554917633533478","-0.2554917633533478"
"423","-0.2395292967557907","-0.2395292967557907","-0.2395292967557907"
"425","-0.28966811299324036","-0.28966811299324036","-0.28966811299324036"
"427","-0.25735101103782654","-0.25735101103782654","-0.25735101103782654"
"433","-0.2462420016527176","-0.2462420016527176","-0.2462420016527176"
"447","-0.2712043225765228","-0.2712043225765228","-0.2712043225765228"
"449","-0.25870415568351746","-0.25870415568351746","-0.25870415568351746"
"451","-0.1945626437664032","-0.1945626437664032","-0.1945626437664032"
"455","-0.2609577775001526","-0.2609577775001526","-0.2609577775001526"
"457","-0.25443845987319946","-0.25443845987319946","-0.25443845987319946"
"471","-0.23535431921482086","-0.23535431921482086","-0.23535431921482086"
"475","-0.31695958971977234","-0.31695958971977234","-0.31695958971977234"
"481","-0.2549295723438263","-0.2549295723438263","-0.2549295723438263"
"493","-0.24988912045955658","-0.24988912045955658","-0.24988912045955658"
"497","-0.2983300983905792","-0.2983300983905792","-0.2983300983905792"
"499","-0.26565685868263245","-0.26565685868263245","-0.26565685868263245"
"507","-0.260649174451828","-0.260649174451828","-0.260649174451828"
"509","-0.2630619406700134","-0.2630619406700134","-0.2630619406700134"
"513","-0.2558263838291168","-0.2558263838291168","-0.2558263838291168"
"521","-0.21040736138820648","-0.21040736138820648","-0.21040736138820648"
"525","-0.21047866344451904","-0.21047866344451904","-0.21047866344451904"
"527","-0.2647978663444519","-0.2647978663444519","-0.2647978663444519"
"535","-0.30476418137550354","-0.30476418137550354","-0.30476418137550354"
"539","-0.23280858993530273","-0.23280858993530273","-0.23280858993530273"
"541","-0.2700521647930145","-0.2700521647930145","-0.2700521647930145"
"545","-0.2618562877178192","-0.2618562877178192","-0.2618562877178192"
"547","-0.21396321058273315","-0.21396321058273315","-0.21396321058273315"
"549","-0.27189335227012634","-0.27189335227012634","-0.27189335227012634"
"551","-0.24400168657302856","-0.24400168657302856","-0.24400168657302856"
"553","-0.2974243760108948","-0.2974243760108948","-0.2974243760108948"
"557","-0.22202010452747345","-0.22202010452747345","-0.22202010452747345"
"561","-0.2572338283061981","-0.2572338283061981","-0.2572338283061981"
"573","-0.2364492565393448","-0.2364492565393448","-0.2364492565393448"
"575","-0.27140381932258606","-0.27140381932258606","-0.27140381932258606"
"577","-0.23522666096687317","-0.23522666096687317","-0.23522666096687317"
"579","-0.22497472167015076","-0.22497472167015076","-0.22497472167015076"
"585","-0.19232474267482758","-0.19232474267482758","-0.19232474267482758"
"587","-0.23239557445049286","-0.23239557445049286","-0.23239557445049286"
"589","-0.2959190607070923","-0.2959190607070923","-0.2959190607070923"
"591","-0.2661632001399994","-0.2661632001399994","-0.2661632001399994"
"595","-0.2341722995042801","-0.2341722995042801","-0.2341722995042801"
"601","-0.1780339628458023","-0.1780339628458023","-0.1780339628458023"
"603","-0.2938474714756012","-0.2938474714756012","-0.2938474714756012"
"605","-0.28815001249313354","-0.28815001249313354","-0.28815001249313354"
"613","-0.2820573151111603","-0.2820573151111603","-0.2820573151111603"
"615","-0.2455919235944748","-0.2455919235944748","-0.2455919235944748"
"617","-0.2583017349243164","-0.2583017349243164","-0.2583017349243164"
"619","-0.26382240653038025","-0.26382240653038025","-0.26382240653038025"
"621","-0.244624063372612","-0.244624063372612","-0.244624063372612"
"641","-0.219817653298378","-0.219817653298378","-0.219817653298378"
"643","-0.2610723674297333","-0.2610723674297333","-0.2610723674297333"
"645","-0.23323339223861694","-0.23323339223861694","-0.23323339223861694"
"649","-0.2584558427333832","-0.2584558427333832","-0.2584558427333832"
"651","-0.28218963742256165","-0.28218963742256165","-0.28218963742256165"
"655","-0.2606162428855896","-0.2606162428855896","-0.2606162428855896"
"661","-0.2291366159915924","-0.2291366159915924","-0.2291366159915924"
"675","-0.29384952783584595","-0.29384952783584595","-0.29384952783584595"
"677","-0.2046157270669937","-0.2046157270669937","-0.2046157270669937"
"685","-0.3046964406967163","-0.3046964406967163","-0.3046964406967163"
"687","-0.2581656277179718","-0.2581656277179718","-0.2581656277179718"
"689","-0.2783648371696472","-0.2783648371696472","-0.2783648371696472"
"691","-0.27258914709091187","-0.27258914709091187","-0.27258914709091187"
"693","-0.26088351011276245","-0.26088351011276245","-0.26088351011276245"
"699","-0.24241945147514343","-0.24241945147514343","-0.24241945147514343"
"701","-0.24427223205566406","-0.24427223205566406","-0.24427223205566406"
"703","-0.2635625898838043","-0.2635625898838043","-0.2635625898838043"
"705","-0.270834356546402","-0.270834356546402","-0.270834356546402"
"709","-0.2367599755525589","-0.2367599755525589","-0.2367599755525589"
"711","-0.22633057832717896","-0.22633057832717896","-0.22633057832717896"
"717","-0.24302877485752106","-0.24302877485752106","-0.24302877485752106"
"719","-0.28892600536346436","-0.28892600536346436","-0.28892600536346436"
"725","-0.2635405957698822","-0.2635405957698822","-0.2635405957698822"
"729","-0.266171395778656","-0.266171395778656","-0.266171395778656"
"735","-0.23424670100212097","-0.23424670100212097","-0.23424670100212097"
"737","-0.27938348054885864","-0.27938348054885864","-0.27938348054885864"
"739","-0.2847950756549835","-0.2847950756549835","-0.2847950756549835"
"745","-0.23822620511054993","-0.23822620511054993","-0.23822620511054993"
"747","-0.2953185439109802","-0.2953185439109802","-0.2953185439109802"
"749","-0.26790186762809753","-0.26790186762809753","-0.26790186762809753"
"755","-0.29114657640457153","-0.29114657640457153","-0.29114657640457153"
"773","-0.2779400050640106","-0.2779400050640106","-0.2779400050640106"
"775","-0.2816323935985565","-0.2816323935985565","-0.2816323935985565"
"785","-0.23346419632434845","-0.23346419632434845","-0.23346419632434845"
"787","-0.24436844885349274","-0.24436844885349274","-0.24436844885349274"
"791","-0.2662290632724762","-0.2662290632724762","-0.2662290632724762"
"795","-0.21137088537216187","-0.21137088537216187","-0.21137088537216187"
"803","-0.2775118052959442","-0.2775118052959442","-0.2775118052959442"
"805","-0.24449658393859863","-0.24449658393859863","-0.24449658393859863"
"809","-0.23799727857112885","-0.23799727857112885","-0.23799727857112885"
"811","-0.25583401322364807","-0.25583401322364807","-0.25583401322364807"
"815","-0.30964231491088867","-0.30964231491088867","-0.30964231491088867"
"821","-0.18715178966522217","-0.18715178966522217","-0.18715178966522217"
"823","-0.15337231755256653","-0.15337231755256653","-0.15337231755256653"
"827","-0.32050821185112","-0.32050821185112","-0.32050821185112"
"829","-0.22033174335956573","-0.22033174335956573","-0.22033174335956573"
"833","-0.24328376352787018","-0.24328376352787018","-0.24328376352787018"
"835","-0.27851414680480957","-0.27851414680480957","-0.27851414680480957"
"839","-0.28859543800354004","-0.28859543800354004","-0.28859543800354004"
"841","-0.24669422209262848","-0.24669422209262848","-0.24669422209262848"
"843","-0.25843921303749084","-0.25843921303749084","-0.25843921303749084"
"845","-0.2557953894138336","-0.2557953894138336","-0.2557953894138336"
"847","-0.2736547291278839","-0.2736547291278839","-0.2736547291278839"
"849","-0.25518375635147095","-0.25518375635147095","-0.25518375635147095"
"853","-0.27075284719467163","-0.27075284719467163","-0.27075284719467163"
"857","-0.27384454011917114","-0.27384454011917114","-0.27384454011917114"
"859","-0.2557849884033203","-0.2557849884033203","-0.2557849884033203"
"867","-0.29379183053970337","-0.29379183053970337","-0.29379183053970337"
"873","-0.27784979343414307","-0.27784979343414307","-0.27784979343414307"
"881","-0.24675936996936798","-0.24675936996936798","-0.24675936996936798"
"885","-0.2586449980735779","-0.2586449980735779","-0.2586449980735779"
"887","-0.28716138005256653","-0.28716138005256653","-0.28716138005256653"
