"Step","resilient-blaze-9 - Smallest CBF constraint(unfiltered)","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MIN","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MAX"
"455","-1.127984642982483","-1.127984642982483","-1.127984642982483"
"459","-1.1903475522994995","-1.1903475522994995","-1.1903475522994995"
"471","-1.461520791053772","-1.461520791053772","-1.461520791053772"
"489","-1.0919263362884521","-1.0919263362884521","-1.0919263362884521"
"495","-1.151600956916809","-1.151600956916809","-1.151600956916809"
"499","-1.2945184707641602","-1.2945184707641602","-1.2945184707641602"
"501","-1.4701710939407349","-1.4701710939407349","-1.4701710939407349"
"503","-1.2626975774765015","-1.2626975774765015","-1.2626975774765015"
"505","-1.1292572021484375","-1.1292572021484375","-1.1292572021484375"
"507","-1.6870603561401367","-1.6870603561401367","-1.6870603561401367"
"509","-1.5360267162322998","-1.5360267162322998","-1.5360267162322998"
"513","-1.6883198022842407","-1.6883198022842407","-1.6883198022842407"
"517","-0.5531620979309082","-0.5531620979309082","-0.5531620979309082"
"519","-1.5782194137573242","-1.5782194137573242","-1.5782194137573242"
"521","-1.3606460094451904","-1.3606460094451904","-1.3606460094451904"
"525","-0.726449191570282","-0.726449191570282","-0.726449191570282"
"527","-1.1007251739501953","-1.1007251739501953","-1.1007251739501953"
"529","-1.2387768030166626","-1.2387768030166626","-1.2387768030166626"
"531","-1.3705486059188843","-1.3705486059188843","-1.3705486059188843"
"537","-1.148574948310852","-1.148574948310852","-1.148574948310852"
"543","-1.247937560081482","-1.247937560081482","-1.247937560081482"
"547","-1.3909968137741089","-1.3909968137741089","-1.3909968137741089"
"551","-1.7102800607681274","-1.7102800607681274","-1.7102800607681274"
"553","-1.3221032619476318","-1.3221032619476318","-1.3221032619476318"
"555","-0.9046940803527832","-0.9046940803527832","-0.9046940803527832"
"559","-1.6329896450042725","-1.6329896450042725","-1.6329896450042725"
"563","-0.8954017758369446","-0.8954017758369446","-0.8954017758369446"
"565","-0.8430703282356262","-0.8430703282356262","-0.8430703282356262"
"569","-0.9626123309135437","-0.9626123309135437","-0.9626123309135437"
"575","-0.9842649698257446","-0.9842649698257446","-0.9842649698257446"
"581","-1.0309721231460571","-1.0309721231460571","-1.0309721231460571"
"583","-1.1024681329727173","-1.1024681329727173","-1.1024681329727173"
"585","-0.8464491963386536","-0.8464491963386536","-0.8464491963386536"
