"Step","resilient-blaze-9 - Smallest CBF value","resilient-blaze-9 - Smallest CBF value__MIN","resilient-blaze-9 - Smallest CBF value__MAX"
"863","-0.18574681878089905","-0.18574681878089905","-0.18574681878089905"
"865","-0.24097800254821777","-0.24097800254821777","-0.24097800254821777"
"869","-0.27974897623062134","-0.27974897623062134","-0.27974897623062134"
"877","-0.2729683816432953","-0.2729683816432953","-0.2729683816432953"
"879","-0.257853627204895","-0.257853627204895","-0.257853627204895"
"881","-0.2916763126850128","-0.2916763126850128","-0.2916763126850128"
"887","-0.25253424048423767","-0.25253424048423767","-0.25253424048423767"
"889","-0.2765335738658905","-0.2765335738658905","-0.2765335738658905"
"891","-0.311696320772171","-0.311696320772171","-0.311696320772171"
"893","-0.32384711503982544","-0.32384711503982544","-0.32384711503982544"
"897","-0.3265814185142517","-0.3265814185142517","-0.3265814185142517"
"899","-0.3285790681838989","-0.3285790681838989","-0.3285790681838989"
"903","-0.30462783575057983","-0.30462783575057983","-0.30462783575057983"
"905","-0.18903276324272156","-0.18903276324272156","-0.18903276324272156"
"907","-0.21243157982826233","-0.21243157982826233","-0.21243157982826233"
"911","-0.245460644364357","-0.245460644364357","-0.245460644364357"
"933","-0.3149595558643341","-0.3149595558643341","-0.3149595558643341"
"937","-0.30181315541267395","-0.30181315541267395","-0.30181315541267395"
"945","-0.2464190572500229","-0.2464190572500229","-0.2464190572500229"
"949","-0.23476038873195648","-0.23476038873195648","-0.23476038873195648"
"951","-0.2964578866958618","-0.2964578866958618","-0.2964578866958618"
"957","-0.28630030155181885","-0.28630030155181885","-0.28630030155181885"
"961","-0.3413659930229187","-0.3413659930229187","-0.3413659930229187"
"967","-0.23746132850646973","-0.23746132850646973","-0.23746132850646973"
"971","-0.29622137546539307","-0.29622137546539307","-0.29622137546539307"
"975","-0.3164285719394684","-0.3164285719394684","-0.3164285719394684"
"981","-0.34178799390792847","-0.34178799390792847","-0.34178799390792847"
"985","-0.22667105495929718","-0.22667105495929718","-0.22667105495929718"
"987","-0.30378130078315735","-0.30378130078315735","-0.30378130078315735"
"989","-0.21971555054187775","-0.21971555054187775","-0.21971555054187775"
"993","-0.27487653493881226","-0.27487653493881226","-0.27487653493881226"
"997","-0.19309337437152863","-0.19309337437152863","-0.19309337437152863"
