"Step","resilient-blaze-9 - rewards/step","resilient-blaze-9 - rewards/step__MIN","resilient-blaze-9 - rewards/step__MAX"
"14107","62.77766799926758","62.77766799926758","62.77766799926758"
"14111","82.5802001953125","82.5802001953125","82.5802001953125"
"14406","19.805688858032227","19.805688858032227","19.805688858032227"
"14410","78.18099212646484","78.18099212646484","78.18099212646484"
"14438","-1.6548120975494385","-1.6548120975494385","-1.6548120975494385"
"14757","21.92708969116211","21.92708969116211","21.92708969116211"
"14761","87.57398223876953","87.57398223876953","87.57398223876953"
"15070","63.9922981262207","63.9922981262207","63.9922981262207"
"15074","95.71129608154297","95.71129608154297","95.71129608154297"
"15091","13.198423385620117","13.198423385620117","13.198423385620117"
"15411","84.9481430053711","84.9481430053711","84.9481430053711"
"15415","69.69523620605469","69.69523620605469","69.69523620605469"
"15728","47.301483154296875","47.301483154296875","47.301483154296875"
"15732","56.00071334838867","56.00071334838867","56.00071334838867"
"15739","80.97659301757812","80.97659301757812","80.97659301757812"
"16059","67.45722961425781","67.45722961425781","67.45722961425781"
"16063","82.52845764160156","82.52845764160156","82.52845764160156"
"16383","71.33489227294922","71.33489227294922","71.33489227294922"
"16387","151.27601623535156","151.27601623535156","151.27601623535156"
"16654","174.50393676757812","174.50393676757812","174.50393676757812"
"16658","129.71351623535156","129.71351623535156","129.71351623535156"
"16712","201.97476196289062","201.97476196289062","201.97476196289062"
"17031","149.2933349609375","149.2933349609375","149.2933349609375"
"17035","223.1107177734375","223.1107177734375","223.1107177734375"
"17317","232.99073791503906","232.99073791503906","232.99073791503906"
"17321","264.4561767578125","264.4561767578125","264.4561767578125"
"17365","243.42440795898438","243.42440795898438","243.42440795898438"
"17685","204.27044677734375","204.27044677734375","204.27044677734375"
"17689","296.0860595703125","296.0860595703125","296.0860595703125"
"17978","210.1252899169922","210.1252899169922","210.1252899169922"
"17982","264.3306579589844","264.3306579589844","264.3306579589844"
"18010","238.4560089111328","238.4560089111328","238.4560089111328"
"18329","242.60435485839844","242.60435485839844","242.60435485839844"
"18333","289.8515625","289.8515625","289.8515625"
"18638","287.7906799316406","287.7906799316406","287.7906799316406"
"18642","322.6955871582031","322.6955871582031","322.6955871582031"
"18659","401.7831115722656","401.7831115722656","401.7831115722656"
"18979","320.8581237792969","320.8581237792969","320.8581237792969"
"18983","282.8572082519531","282.8572082519531","282.8572082519531"
"19302","368.9107666015625","368.9107666015625","368.9107666015625"
"19306","390.4385070800781","390.4385070800781","390.4385070800781"
"19313","411.8634948730469","411.8634948730469","411.8634948730469"
"19632","306.44940185546875","306.44940185546875","306.44940185546875"
"19636","377.481201171875","377.481201171875","377.481201171875"
"19956","351.2073669433594","351.2073669433594","351.2073669433594"
"19960","389.4922180175781","389.4922180175781","389.4922180175781"
"20225","387.88189697265625","387.88189697265625","387.88189697265625"
"20229","375.05218505859375","375.05218505859375","375.05218505859375"
"20286","366.39202880859375","366.39202880859375","366.39202880859375"
"20603","292.6283264160156","292.6283264160156","292.6283264160156"
"20607","353.0261535644531","353.0261535644531","353.0261535644531"
"20886","361.74468994140625","361.74468994140625","361.74468994140625"
"20890","252.85079956054688","252.85079956054688","252.85079956054688"
"20933","336.92596435546875","336.92596435546875","336.92596435546875"
"21258","339.9990539550781","339.9990539550781","339.9990539550781"
"21262","290.0837097167969","290.0837097167969","290.0837097167969"
"21549","304.6142578125","304.6142578125","304.6142578125"
"21553","298.7678527832031","298.7678527832031","298.7678527832031"
"21588","293.7729797363281","293.7729797363281","293.7729797363281"
"21908","321.27203369140625","321.27203369140625","321.27203369140625"
