"Step","rare-brook-31 - CBF constraint(unfiltered)","rare-brook-31 - CBF constraint(unfiltered)__MIN","rare-brook-31 - CBF constraint(unfiltered)__MAX"
"1561","-0.012879085727036","-0.012879085727036","-0.012879085727036"
"1567","-0.013011517003178596","-0.013011517003178596","-0.013011517003178596"
"1569","-0.01105218194425106","-0.01105218194425106","-0.01105218194425106"
"1575","-0.002138537587597966","-0.002138537587597966","-0.002138537587597966"
"1585","-0.0035145250149071217","-0.0035145250149071217","-0.0035145250149071217"
"1587","-0.0039215367287397385","-0.0039215367287397385","-0.0039215367287397385"
"1593","-0.0011389051796868443","-0.0011389051796868443","-0.0011389051796868443"
"1603","-0.009717116132378578","-0.009717116132378578","-0.009717116132378578"
"1605","-0.003711309749633074","-0.003711309749633074","-0.003711309749633074"
"1615","-0.006014151498675346","-0.006014151498675346","-0.006014151498675346"
"1633","-0.011876208707690239","-0.011876208707690239","-0.011876208707690239"
"1635","-0.011316535994410515","-0.011316535994410515","-0.011316535994410515"
"1637","-0.019109969958662987","-0.019109969958662987","-0.019109969958662987"
"1641","-0.015317145735025406","-0.015317145735025406","-0.015317145735025406"
"1643","-0.010926326736807823","-0.010926326736807823","-0.010926326736807823"
"1649","-0.010578123852610588","-0.010578123852610588","-0.010578123852610588"
"1661","-0.002657170407474041","-0.002657170407474041","-0.002657170407474041"
"1667","-0.014544697478413582","-0.014544697478413582","-0.014544697478413582"
"1673","-0.0036899754777550697","-0.0036899754777550697","-0.0036899754777550697"
"1675","-0.012217564508318901","-0.012217564508318901","-0.012217564508318901"
"1679","-0.008358352817595005","-0.008358352817595005","-0.008358352817595005"
"1681","-0.005364186130464077","-0.005364186130464077","-0.005364186130464077"
"1683","-0.0074613261967897415","-0.0074613261967897415","-0.0074613261967897415"
"1687","-0.008859802037477493","-0.008859802037477493","-0.008859802037477493"
"1695","-0.008823249489068985","-0.008823249489068985","-0.008823249489068985"
"1703","-0.016832318156957626","-0.016832318156957626","-0.016832318156957626"
"1707","-0.00732230581343174","-0.00732230581343174","-0.00732230581343174"
"1717","-0.016563376411795616","-0.016563376411795616","-0.016563376411795616"
"1721","-0.003908142447471619","-0.003908142447471619","-0.003908142447471619"
"1727","-0.009247821755707264","-0.009247821755707264","-0.009247821755707264"
"1745","-0.007304870057851076","-0.007304870057851076","-0.007304870057851076"
"1753","-0.006961307488381863","-0.006961307488381863","-0.006961307488381863"
"1763","-0.008966892957687378","-0.008966892957687378","-0.008966892957687378"
"1767","-0.009959625080227852","-0.009959625080227852","-0.009959625080227852"
"1773","-0.0099095543846488","-0.0099095543846488","-0.0099095543846488"
"1785","-0.0033663343638181686","-0.0033663343638181686","-0.0033663343638181686"
"1787","-0.005515160504728556","-0.005515160504728556","-0.005515160504728556"
"1793","-0.009786562994122505","-0.009786562994122505","-0.009786562994122505"
"1797","-0.006837733089923859","-0.006837733089923859","-0.006837733089923859"
"1799","-0.013870161026716232","-0.013870161026716232","-0.013870161026716232"
"1801","-0.0066159628331661224","-0.0066159628331661224","-0.0066159628331661224"
"1821","-0.008498451672494411","-0.008498451672494411","-0.008498451672494411"
"1825","-0.01538299210369587","-0.01538299210369587","-0.01538299210369587"
"1831","-0.005582476034760475","-0.005582476034760475","-0.005582476034760475"
"1839","-0.0072810109704732895","-0.0072810109704732895","-0.0072810109704732895"
"1845","-0.011172588914632797","-0.011172588914632797","-0.011172588914632797"
"1855","-0.00681199599057436","-0.00681199599057436","-0.00681199599057436"
"1871","-0.01011686585843563","-0.01011686585843563","-0.01011686585843563"
"1889","-0.007146287709474564","-0.007146287709474564","-0.007146287709474564"
"1893","-0.008259871043264866","-0.008259871043264866","-0.008259871043264866"
"1903","-0.003737209364771843","-0.003737209364771843","-0.003737209364771843"
"1919","-0.008696174249053001","-0.008696174249053001","-0.008696174249053001"
"1925","-0.007387240417301655","-0.007387240417301655","-0.007387240417301655"
"1931","-0.00497468002140522","-0.00497468002140522","-0.00497468002140522"
"1935","-0.003252735361456871","-0.003252735361456871","-0.003252735361456871"
"1945","-0.00906568393111229","-0.00906568393111229","-0.00906568393111229"
"1953","-0.015336594544351101","-0.015336594544351101","-0.015336594544351101"
"1961","-0.0017375813331454992","-0.0017375813331454992","-0.0017375813331454992"
"1973","-0.0050610266625881195","-0.0050610266625881195","-0.0050610266625881195"
"1985","-0.003474947065114975","-0.003474947065114975","-0.003474947065114975"
"1993","-0.008970515802502632","-0.008970515802502632","-0.008970515802502632"
"1995","-0.004926340654492378","-0.004926340654492378","-0.004926340654492378"
"2003","-0.009140502661466599","-0.009140502661466599","-0.009140502661466599"
"2005","-0.004873448517173529","-0.004873448517173529","-0.004873448517173529"
"2007","-0.01312048640102148","-0.01312048640102148","-0.01312048640102148"
"2021","-0.005085633136332035","-0.005085633136332035","-0.005085633136332035"
"2029","-0.0067125591449439526","-0.0067125591449439526","-0.0067125591449439526"
"2031","-0.010179521515965462","-0.010179521515965462","-0.010179521515965462"
"2039","-0.010606380179524422","-0.010606380179524422","-0.010606380179524422"
"2041","-0.009113803505897522","-0.009113803505897522","-0.009113803505897522"
"2043","-0.00301159406080842","-0.00301159406080842","-0.00301159406080842"
"2045","-0.002741927746683359","-0.002741927746683359","-0.002741927746683359"
"2049","-0.004282624460756779","-0.004282624460756779","-0.004282624460756779"
"2051","-0.004102897364646196","-0.004102897364646196","-0.004102897364646196"
"2053","-0.008465701714158058","-0.008465701714158058","-0.008465701714158058"
"2055","-0.003456084756180644","-0.003456084756180644","-0.003456084756180644"
"2057","-0.0018261389341205359","-0.0018261389341205359","-0.0018261389341205359"
"2061","-0.003578284289687872","-0.003578284289687872","-0.003578284289687872"
"2065","-0.0053802733309566975","-0.0053802733309566975","-0.0053802733309566975"
"2067","-0.003787199966609478","-0.003787199966609478","-0.003787199966609478"
"2071","-0.008957729674875736","-0.008957729674875736","-0.008957729674875736"
"2081","-0.002133577596396208","-0.002133577596396208","-0.002133577596396208"
"2085","-0.011034606955945492","-0.011034606955945492","-0.011034606955945492"
"2087","-0.006283530034124851","-0.006283530034124851","-0.006283530034124851"
"2089","-0.003748394548892975","-0.003748394548892975","-0.003748394548892975"
"2095","-0.006533995270729065","-0.006533995270729065","-0.006533995270729065"
"2107","-0.006820166949182749","-0.006820166949182749","-0.006820166949182749"
"2109","-0.00480484776198864","-0.00480484776198864","-0.00480484776198864"
"2123","-0.015435712411999702","-0.015435712411999702","-0.015435712411999702"
"2127","-0.004486538469791412","-0.004486538469791412","-0.004486538469791412"
"2133","-0.014984004199504852","-0.014984004199504852","-0.014984004199504852"
"2137","-0.007784878369420767","-0.007784878369420767","-0.007784878369420767"
"2147","-0.004331454634666443","-0.004331454634666443","-0.004331454634666443"
"2149","-0.0063989898189902306","-0.0063989898189902306","-0.0063989898189902306"
"2155","-0.009490396827459335","-0.009490396827459335","-0.009490396827459335"
"2161","-0.004221944138407707","-0.004221944138407707","-0.004221944138407707"
"2175","-0.011853272095322609","-0.011853272095322609","-0.011853272095322609"
"2177","-0.0043386491015553474","-0.0043386491015553474","-0.0043386491015553474"
"2187","-0.013486474752426147","-0.013486474752426147","-0.013486474752426147"
"2191","-0.0023335933219641447","-0.0023335933219641447","-0.0023335933219641447"
"2193","-0.005922884680330753","-0.005922884680330753","-0.005922884680330753"
"2197","-0.010030215606093407","-0.010030215606093407","-0.010030215606093407"
"2203","-0.006709286943078041","-0.006709286943078041","-0.006709286943078041"
"2205","-0.007810424547642469","-0.007810424547642469","-0.007810424547642469"
"2211","-0.0035193623043596745","-0.0035193623043596745","-0.0035193623043596745"
"2213","-0.0030724795069545507","-0.0030724795069545507","-0.0030724795069545507"
"2215","-0.01263226568698883","-0.01263226568698883","-0.01263226568698883"
"2219","-0.00640197703614831","-0.00640197703614831","-0.00640197703614831"
"2241","-0.009462421759963036","-0.009462421759963036","-0.009462421759963036"
"2253","-0.007782644592225552","-0.007782644592225552","-0.007782644592225552"
"2255","-0.00944671593606472","-0.00944671593606472","-0.00944671593606472"
