"Step","rare-brook-31 - rewards/iter","rare-brook-31 - rewards/iter__MIN","rare-brook-31 - rewards/iter__MAX"
"35974","824.543212890625","824.543212890625","824.543212890625"
"35978","821.7872314453125","821.7872314453125","821.7872314453125"
"36022","808.46044921875","808.46044921875","808.46044921875"
"36342","777.3331298828125","777.3331298828125","777.3331298828125"
"36346","822.3792114257812","822.3792114257812","822.3792114257812"
"36636","780.7379760742188","780.7379760742188","780.7379760742188"
"36640","808.0877075195312","808.0877075195312","808.0877075195312"
"36668","807.8648071289062","807.8648071289062","807.8648071289062"
"36982","778.5616455078125","778.5616455078125","778.5616455078125"
"36986","779.4573974609375","779.4573974609375","779.4573974609375"
"37300","777.0087280273438","777.0087280273438","777.0087280273438"
"37304","798.2243041992188","798.2243041992188","798.2243041992188"
"37310","834.799072265625","834.799072265625","834.799072265625"
"37628","798.3003540039062","798.3003540039062","798.3003540039062"
"37632","797.3519287109375","797.3519287109375","797.3519287109375"
"37948","816.1022338867188","816.1022338867188","816.1022338867188"
"37952","803.9227294921875","803.9227294921875","803.9227294921875"
"38226","777.0877075195312","777.0877075195312","777.0877075195312"
"38230","831.5656127929688","831.5656127929688","831.5656127929688"
"38276","797.2933349609375","797.2933349609375","797.2933349609375"
"38594","809.2030029296875","809.2030029296875","809.2030029296875"
"38598","814.5997314453125","814.5997314453125","814.5997314453125"
"38890","807.6596069335938","807.6596069335938","807.6596069335938"
"38894","811.7501220703125","811.7501220703125","811.7501220703125"
"38922","794.4467163085938","794.4467163085938","794.4467163085938"
"39238","821.1357421875","821.1357421875","821.1357421875"
"39242","826.5457763671875","826.5457763671875","826.5457763671875"
"39552","782.1934204101562","782.1934204101562","782.1934204101562"
"39556","741.5768432617188","741.5768432617188","741.5768432617188"
"39566","780.4039916992188","780.4039916992188","780.4039916992188"
"39884","813.8916015625","813.8916015625","813.8916015625"
"39888","808.5419311523438","808.5419311523438","808.5419311523438"
"40208","813.7659301757812","813.7659301757812","813.7659301757812"
"40212","812.4929809570312","812.4929809570312","812.4929809570312"
"40476","777.9928588867188","777.9928588867188","777.9928588867188"
"40480","758.6962890625","758.6962890625","758.6962890625"
"40534","749.2391357421875","749.2391357421875","749.2391357421875"
"40850","825.49169921875","825.49169921875","825.49169921875"
"40854","713.8402099609375","713.8402099609375","713.8402099609375"
"41138","796.1069946289062","796.1069946289062","796.1069946289062"
"41142","774.9066162109375","774.9066162109375","774.9066162109375"
"41176","819.7478637695312","819.7478637695312","819.7478637695312"
"41496","801.9124145507812","801.9124145507812","801.9124145507812"
"41500","771.4322509765625","771.4322509765625","771.4322509765625"
"41802","806.7667846679688","806.7667846679688","806.7667846679688"
"41806","814.7935180664062","814.7935180664062","814.7935180664062"
"41822","788.8162841796875","788.8162841796875","788.8162841796875"
"42140","829.721435546875","829.721435546875","829.721435546875"
"42144","810.3340454101562","810.3340454101562","810.3340454101562"
"42464","730.985595703125","730.985595703125","730.985595703125"
"42468","772.9800415039062","772.9800415039062","772.9800415039062"
"42728","808.1253051757812","808.1253051757812","808.1253051757812"
"42732","794.4755859375","794.4755859375","794.4755859375"
"42792","772.3094482421875","772.3094482421875","772.3094482421875"
"43106","795.1292724609375","795.1292724609375","795.1292724609375"
"43110","793.4384765625","793.4384765625","793.4384765625"
"43390","787.7570190429688","787.7570190429688","787.7570190429688"
"43394","782.7598876953125","782.7598876953125","782.7598876953125"
"43430","817.7817993164062","817.7817993164062","817.7817993164062"
"43750","792.6948852539062","792.6948852539062","792.6948852539062"
"43754","798.3257446289062","798.3257446289062","798.3257446289062"
"44052","861.3999633789062","861.3999633789062","861.3999633789062"
"44056","800.9285278320312","800.9285278320312","800.9285278320312"
"44076","822.0022583007812","822.0022583007812","822.0022583007812"
"44392","830.7904663085938","830.7904663085938","830.7904663085938"
"44396","798.4208984375","798.4208984375","798.4208984375"
"44712","783.4450073242188","783.4450073242188","783.4450073242188"
"44716","796.9013671875","796.9013671875","796.9013671875"
"44982","839.8583984375","839.8583984375","839.8583984375"
"44986","811.2388305664062","811.2388305664062","811.2388305664062"
"45042","839.1849975585938","839.1849975585938","839.1849975585938"
"45358","824.0903930664062","824.0903930664062","824.0903930664062"
"45362","782.0198364257812","782.0198364257812","782.0198364257812"
"45642","817.0261840820312","817.0261840820312","817.0261840820312"
"45646","814.4892578125","814.4892578125","814.4892578125"
"45682","794.7088623046875","794.7088623046875","794.7088623046875"
"45998","808.7692260742188","808.7692260742188","808.7692260742188"
"46002","803.3734741210938","803.3734741210938","803.3734741210938"
"46304","801.9263916015625","801.9263916015625","801.9263916015625"
"46308","841.056884765625","841.056884765625","841.056884765625"
"46328","795.09521484375","795.09521484375","795.09521484375"
"46644","781.0210571289062","781.0210571289062","781.0210571289062"
"46648","850.38427734375","850.38427734375","850.38427734375"
"46964","793.3801879882812","793.3801879882812","793.3801879882812"
"46968","789.1908569335938","789.1908569335938","789.1908569335938"
"47230","782.825439453125","782.825439453125","782.825439453125"
"47234","798.1671142578125","798.1671142578125","798.1671142578125"
"47290","835.45849609375","835.45849609375","835.45849609375"
"47612","820.1585083007812","820.1585083007812","820.1585083007812"
"47616","835.2096557617188","835.2096557617188","835.2096557617188"
"47894","824.525146484375","824.525146484375","824.525146484375"
"47898","808.275146484375","808.275146484375","808.275146484375"
