"Step","restful-aardvark-1 - Smallest CBF value","restful-aardvark-1 - Smallest CBF value__MIN","restful-aardvark-1 - Smallest CBF value__MAX"
"160","-0.3122480511665344","-0.3122480511665344","-0.3122480511665344"
"162","-0.23294377326965332","-0.23294377326965332","-0.23294377326965332"
"164","-0.28968507051467896","-0.28968507051467896","-0.28968507051467896"
"166","-0.2978117763996124","-0.2978117763996124","-0.2978117763996124"
"168","-0.2730521261692047","-0.2730521261692047","-0.2730521261692047"
"170","-0.31289562582969666","-0.31289562582969666","-0.31289562582969666"
"172","-0.3025124967098236","-0.3025124967098236","-0.3025124967098236"
"174","-0.29675713181495667","-0.29675713181495667","-0.29675713181495667"
"176","-0.3218415081501007","-0.3218415081501007","-0.3218415081501007"
"178","-0.29594892263412476","-0.29594892263412476","-0.29594892263412476"
"180","-0.32107993960380554","-0.32107993960380554","-0.32107993960380554"
"182","-0.27787548303604126","-0.27787548303604126","-0.27787548303604126"
"184","-0.292586088180542","-0.292586088180542","-0.292586088180542"
"186","-0.3002850115299225","-0.3002850115299225","-0.3002850115299225"
"188","-0.27859166264533997","-0.27859166264533997","-0.27859166264533997"
"190","-0.3203997313976288","-0.3203997313976288","-0.3203997313976288"
"192","-0.28457504510879517","-0.28457504510879517","-0.28457504510879517"
"194","-0.2966839075088501","-0.2966839075088501","-0.2966839075088501"
"196","-0.3215975761413574","-0.3215975761413574","-0.3215975761413574"
"198","-0.28674301505088806","-0.28674301505088806","-0.28674301505088806"
"200","-0.3207147419452667","-0.3207147419452667","-0.3207147419452667"
"202","-0.2521149516105652","-0.2521149516105652","-0.2521149516105652"
"204","-0.2952195107936859","-0.2952195107936859","-0.2952195107936859"
"206","-0.26669594645500183","-0.26669594645500183","-0.26669594645500183"
"208","-0.27805575728416443","-0.27805575728416443","-0.27805575728416443"
"210","-0.30235472321510315","-0.30235472321510315","-0.30235472321510315"
"212","-0.23021139204502106","-0.23021139204502106","-0.23021139204502106"
"214","-0.17566129565238953","-0.17566129565238953","-0.17566129565238953"
"216","-0.2611256241798401","-0.2611256241798401","-0.2611256241798401"
"218","-0.31276988983154297","-0.31276988983154297","-0.31276988983154297"
"220","-0.30237871408462524","-0.30237871408462524","-0.30237871408462524"
"222","-0.28459930419921875","-0.28459930419921875","-0.28459930419921875"
"224","-0.27442872524261475","-0.27442872524261475","-0.27442872524261475"
"226","-0.30045121908187866","-0.30045121908187866","-0.30045121908187866"
"228","-0.28919878602027893","-0.28919878602027893","-0.28919878602027893"
"230","-0.36137089133262634","-0.36137089133262634","-0.36137089133262634"
"232","-0.2808926999568939","-0.2808926999568939","-0.2808926999568939"
"234","-0.3663065731525421","-0.3663065731525421","-0.3663065731525421"
"236","-0.30817779898643494","-0.30817779898643494","-0.30817779898643494"
"238","-0.35819435119628906","-0.35819435119628906","-0.35819435119628906"
"240","-0.32132959365844727","-0.32132959365844727","-0.32132959365844727"
"242","-0.260731041431427","-0.260731041431427","-0.260731041431427"
"244","-0.26028817892074585","-0.26028817892074585","-0.26028817892074585"
"246","-0.2665194571018219","-0.2665194571018219","-0.2665194571018219"
"248","-0.3300997018814087","-0.3300997018814087","-0.3300997018814087"
"250","-0.2671533226966858","-0.2671533226966858","-0.2671533226966858"
"252","-0.3305666744709015","-0.3305666744709015","-0.3305666744709015"
"254","-0.2440958172082901","-0.2440958172082901","-0.2440958172082901"
"256","-0.2918292284011841","-0.2918292284011841","-0.2918292284011841"
"258","-0.32490965723991394","-0.32490965723991394","-0.32490965723991394"
"260","-0.3482705354690552","-0.3482705354690552","-0.3482705354690552"
"262","-0.36478471755981445","-0.36478471755981445","-0.36478471755981445"
"264","-0.29612404108047485","-0.29612404108047485","-0.29612404108047485"
"266","-0.30067989230155945","-0.30067989230155945","-0.30067989230155945"
"268","-0.23263536393642426","-0.23263536393642426","-0.23263536393642426"
"270","-0.26544100046157837","-0.26544100046157837","-0.26544100046157837"
"272","-0.2489366978406906","-0.2489366978406906","-0.2489366978406906"
"274","-0.2187047004699707","-0.2187047004699707","-0.2187047004699707"
"276","-0.2295544594526291","-0.2295544594526291","-0.2295544594526291"
"278","-0.24721042811870575","-0.24721042811870575","-0.24721042811870575"
"280","-0.29441049695014954","-0.29441049695014954","-0.29441049695014954"
"282","-0.32749849557876587","-0.32749849557876587","-0.32749849557876587"
"284","-0.24377883970737457","-0.24377883970737457","-0.24377883970737457"
"286","-0.30179065465927124","-0.30179065465927124","-0.30179065465927124"
"288","-0.3236590623855591","-0.3236590623855591","-0.3236590623855591"
"290","-0.23823228478431702","-0.23823228478431702","-0.23823228478431702"
"292","-0.24020551145076752","-0.24020551145076752","-0.24020551145076752"
"294","-0.20235267281532288","-0.20235267281532288","-0.20235267281532288"
"303","-0.24620789289474487","-0.24620789289474487","-0.24620789289474487"
"305","-0.29181525111198425","-0.29181525111198425","-0.29181525111198425"
"307","-0.22210679948329926","-0.22210679948329926","-0.22210679948329926"
"309","-0.265985906124115","-0.265985906124115","-0.265985906124115"
"311","-0.33537718653678894","-0.33537718653678894","-0.33537718653678894"
"313","-0.31167981028556824","-0.31167981028556824","-0.31167981028556824"
"315","-0.2731126844882965","-0.2731126844882965","-0.2731126844882965"
"317","-0.31189051270484924","-0.31189051270484924","-0.31189051270484924"
"319","-0.2466537356376648","-0.2466537356376648","-0.2466537356376648"
"321","-0.25556954741477966","-0.25556954741477966","-0.25556954741477966"
"323","-0.3029877841472626","-0.3029877841472626","-0.3029877841472626"
"325","-0.308167964220047","-0.308167964220047","-0.308167964220047"
"327","-0.2739732563495636","-0.2739732563495636","-0.2739732563495636"
"329","-0.30491718649864197","-0.30491718649864197","-0.30491718649864197"
"331","-0.26878049969673157","-0.26878049969673157","-0.26878049969673157"
"333","-0.26470157504081726","-0.26470157504081726","-0.26470157504081726"
"335","-0.2837996184825897","-0.2837996184825897","-0.2837996184825897"
"337","-0.3071814775466919","-0.3071814775466919","-0.3071814775466919"
"339","-0.33211883902549744","-0.33211883902549744","-0.33211883902549744"
"341","-0.23437106609344482","-0.23437106609344482","-0.23437106609344482"
"343","-0.253643661737442","-0.253643661737442","-0.253643661737442"
"345","-0.25282561779022217","-0.25282561779022217","-0.25282561779022217"
"347","-0.2763284146785736","-0.2763284146785736","-0.2763284146785736"
"349","-0.31136655807495117","-0.31136655807495117","-0.31136655807495117"
"351","-0.2576020061969757","-0.2576020061969757","-0.2576020061969757"
"353","-0.3038388192653656","-0.3038388192653656","-0.3038388192653656"
"355","-0.3104456067085266","-0.3104456067085266","-0.3104456067085266"
"357","-0.27666109800338745","-0.27666109800338745","-0.27666109800338745"
"359","-0.2648012638092041","-0.2648012638092041","-0.2648012638092041"
"361","-0.28100821375846863","-0.28100821375846863","-0.28100821375846863"
"363","-0.27422502636909485","-0.27422502636909485","-0.27422502636909485"
"365","-0.3047906160354614","-0.3047906160354614","-0.3047906160354614"
"367","-0.2702676057815552","-0.2702676057815552","-0.2702676057815552"
"369","-0.32087162137031555","-0.32087162137031555","-0.32087162137031555"
"371","-0.30588608980178833","-0.30588608980178833","-0.30588608980178833"
"373","-0.2869664132595062","-0.2869664132595062","-0.2869664132595062"
"375","-0.33609843254089355","-0.33609843254089355","-0.33609843254089355"
"377","-0.24857211112976074","-0.24857211112976074","-0.24857211112976074"
"379","-0.3196561634540558","-0.3196561634540558","-0.3196561634540558"
"381","-0.22016595304012299","-0.22016595304012299","-0.22016595304012299"
"383","-0.2616333067417145","-0.2616333067417145","-0.2616333067417145"
"385","-0.2656184434890747","-0.2656184434890747","-0.2656184434890747"
"387","-0.33120957016944885","-0.33120957016944885","-0.33120957016944885"
"389","-0.23972074687480927","-0.23972074687480927","-0.23972074687480927"
"391","-0.31185182929039","-0.31185182929039","-0.31185182929039"
"393","-0.2923528850078583","-0.2923528850078583","-0.2923528850078583"
"395","-0.2628577649593353","-0.2628577649593353","-0.2628577649593353"
"397","-0.21651551127433777","-0.21651551127433777","-0.21651551127433777"
"399","-0.26851606369018555","-0.26851606369018555","-0.26851606369018555"
"401","-0.3088999092578888","-0.3088999092578888","-0.3088999092578888"
"403","-0.3076144754886627","-0.3076144754886627","-0.3076144754886627"
"405","-0.31037217378616333","-0.31037217378616333","-0.31037217378616333"
"407","-0.31299641728401184","-0.31299641728401184","-0.31299641728401184"
"410","-0.3265579640865326","-0.3265579640865326","-0.3265579640865326"
"412","-0.2888149917125702","-0.2888149917125702","-0.2888149917125702"
