"Step","restful-aardvark-1 - global_step","restful-aardvark-1 - global_step__MIN","restful-aardvark-1 - global_step__MAX"
"17557","2146304","2146304","2146304"
"17558","2146304","2146304","2146304"
"17559","2146304","2146304","2146304"
"17816","2146304","2146304","2146304"
"17817","2162688","2162688","2162688"
"17818","2162688","2162688","2162688"
"17819","2162688","2162688","2162688"
"17820","2162688","2162688","2162688"
"17821","2179072","2179072","2179072"
"17822","2179072","2179072","2179072"
"17823","2179072","2179072","2179072"
"17878","2179072","2179072","2179072"
"17879","2195456","2195456","2195456"
"17880","2195456","2195456","2195456"
"17881","2195456","2195456","2195456"
"18188","2195456","2195456","2195456"
"18189","2211840","2211840","2211840"
"18190","2211840","2211840","2211840"
"18191","2211840","2211840","2211840"
"18192","2211840","2211840","2211840"
"18193","2228224","2228224","2228224"
"18194","2228224","2228224","2228224"
"18195","2228224","2228224","2228224"
"18476","2228224","2228224","2228224"
"18477","2244608","2244608","2244608"
"18478","2244608","2244608","2244608"
"18479","2244608","2244608","2244608"
"18480","2244608","2244608","2244608"
"18481","2260992","2260992","2260992"
"18482","2260992","2260992","2260992"
"18483","2260992","2260992","2260992"
"18513","2260992","2260992","2260992"
"18514","2277376","2277376","2277376"
"18515","2277376","2277376","2277376"
"18516","2277376","2277376","2277376"
"18826","2277376","2277376","2277376"
"18827","2293760","2293760","2293760"
"18828","2293760","2293760","2293760"
"18830","2293760","2293760","2293760"
"18831","2293760","2293760","2293760"
"18832","2310144","2310144","2310144"
"18833","2310144","2310144","2310144"
"18834","2310144","2310144","2310144"
"19138","2310144","2310144","2310144"
"19139","2326528","2326528","2326528"
"19140","2326528","2326528","2326528"
"19141","2326528","2326528","2326528"
"19142","2326528","2326528","2326528"
"19143","2342912","2342912","2342912"
"19144","2342912","2342912","2342912"
"19145","2342912","2342912","2342912"
"19151","2342912","2342912","2342912"
"19152","2359296","2359296","2359296"
"19153","2359296","2359296","2359296"
"19154","2359296","2359296","2359296"
"19463","2359296","2359296","2359296"
"19464","2375680","2375680","2375680"
"19465","2375680","2375680","2375680"
"19466","2375680","2375680","2375680"
"19467","2375680","2375680","2375680"
"19468","2392064","2392064","2392064"
"19469","2392064","2392064","2392064"
"19470","2392064","2392064","2392064"
"19780","2392064","2392064","2392064"
"19781","2408448","2408448","2408448"
"19782","2408448","2408448","2408448"
"19783","2408448","2408448","2408448"
"19784","2408448","2408448","2408448"
"19785","2424832","2424832","2424832"
"19786","2424832","2424832","2424832"
"19787","2424832","2424832","2424832"
"20061","2424832","2424832","2424832"
"20062","2441216","2441216","2441216"
"20063","2441216","2441216","2441216"
"20064","2441216","2441216","2441216"
"20065","2441216","2441216","2441216"
"20066","2457600","2457600","2457600"
"20067","2457600","2457600","2457600"
"20068","2457600","2457600","2457600"
"20102","2457600","2457600","2457600"
"20103","2473984","2473984","2473984"
"20104","2473984","2473984","2473984"
"20105","2473984","2473984","2473984"
"20415","2473984","2473984","2473984"
"20416","2490368","2490368","2490368"
"20417","2490368","2490368","2490368"
"20418","2490368","2490368","2490368"
"20419","2490368","2490368","2490368"
"20420","2506752","2506752","2506752"
"20421","2506752","2506752","2506752"
"20422","2506752","2506752","2506752"
"20722","2506752","2506752","2506752"
"20723","2523136","2523136","2523136"
"20724","2523136","2523136","2523136"
"20725","2523136","2523136","2523136"
"20726","2523136","2523136","2523136"
"20727","2539520","2539520","2539520"
"20728","2539520","2539520","2539520"
"20729","2539520","2539520","2539520"
"20740","2539520","2539520","2539520"
"20741","2555904","2555904","2555904"
"20742","2555904","2555904","2555904"
"20743","2555904","2555904","2555904"
"21053","2555904","2555904","2555904"
"21054","2572288","2572288","2572288"
"21055","2572288","2572288","2572288"
"21056","2572288","2572288","2572288"
"21057","2572288","2572288","2572288"
"21058","2588672","2588672","2588672"
"21059","2588672","2588672","2588672"
"21060","2588672","2588672","2588672"
"21372","2588672","2588672","2588672"
"21373","2605056","2605056","2605056"
"21374","2605056","2605056","2605056"
"21375","2605056","2605056","2605056"
"21376","2605056","2605056","2605056"
"21377","2621440","2621440","2621440"
"21378","2621440","2621440","2621440"
"21379","2621440","2621440","2621440"
"21647","2621440","2621440","2621440"
"21648","2637824","2637824","2637824"
"21649","2637824","2637824","2637824"
"21650","2637824","2637824","2637824"
"21651","2637824","2637824","2637824"
"21652","2654208","2654208","2654208"
"21653","2654208","2654208","2654208"
"21654","2654208","2654208","2654208"
"21697","2654208","2654208","2654208"
"21698","2670592","2670592","2670592"
"21699","2670592","2670592","2670592"
"21700","2670592","2670592","2670592"
"22011","2670592","2670592","2670592"
"22012","2686976","2686976","2686976"
"22013","2686976","2686976","2686976"
"22014","2686976","2686976","2686976"
"22015","2686976","2686976","2686976"
"22016","2703360","2703360","2703360"
"22017","2703360","2703360","2703360"
"22018","2703360","2703360","2703360"
"22306","2703360","2703360","2703360"
"22307","2719744","2719744","2719744"
"22308","2719744","2719744","2719744"
"22309","2719744","2719744","2719744"
"22310","2719744","2719744","2719744"
"22311","2736128","2736128","2736128"
"22312","2736128","2736128","2736128"
"22313","2736128","2736128","2736128"
"22332","2736128","2736128","2736128"
"22333","2752512","2752512","2752512"
"22334","2752512","2752512","2752512"
"22335","2752512","2752512","2752512"
"22646","2752512","2752512","2752512"
"22647","2768896","2768896","2768896"
"22648","2768896","2768896","2768896"
"22649","2768896","2768896","2768896"
"22650","2768896","2768896","2768896"
"22651","2785280","2785280","2785280"
"22652","2785280","2785280","2785280"
"22653","2785280","2785280","2785280"
"22964","2785280","2785280","2785280"
"22965","2801664","2801664","2801664"
"22966","2801664","2801664","2801664"
"22967","2801664","2801664","2801664"
"22968","2801664","2801664","2801664"
"22969","2818048","2818048","2818048"
"22970","2818048","2818048","2818048"
"22971","2818048","2818048","2818048"
"23230","2818048","2818048","2818048"
